[SYS] 2025/03/31 - 07:39:33 | New API v0.0.0 started 
[SYS] 2025/03/31 - 07:39:33 | using MySQL as database 
[SYS] 2025/03/31 - 07:39:34 | database migration started 
[SYS] 2025/03/31 - 07:39:36 | database migrated 
[SYS] 2025/03/31 - 07:39:36 | using MySQL as database 
[SYS] 2025/03/31 - 07:39:36 | database migration started 
[SYS] 2025/03/31 - 07:39:36 | Redis is enabled 
[SYS] 2025/03/31 - 07:39:36 | memory cache enabled 
[SYS] 2025/03/31 - 07:39:36 | sync frequency: 60 seconds 
[SYS] 2025/03/31 - 07:39:36 | channels synced from database 
[SYS] 2025/03/31 - 07:39:36 | batch update enabled with interval 5s 
[SYS] 2025/03/31 - 07:39:36 | pprof enabled 
[SYS] 2025/03/31 - 07:39:36 | initializing token encoders 
[SYS] 2025/03/31 - 07:39:36 | 正在更新数据看板数据... 
[SYS] 2025/03/31 - 07:39:36 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/03/31 - 07:39:37 | token encoders initialized 
[SYS] 2025/03/31 - 07:39:37 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/03/31 - 07:39:41 | batch update started 
[SYS] 2025/03/31 - 07:39:41 | batch update finished 
[SYS] 2025/03/31 - 07:39:45 | batch update started 
[SYS] 2025/03/31 - 07:39:45 | batch update finished 
[SYS] 2025/03/31 - 07:39:50 | batch update started 
[SYS] 2025/03/31 - 07:39:50 | batch update finished 
[SYS] 2025/03/31 - 07:39:50 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:39:50 | 任务进度轮询完成 
[GIN] 2025/03/31 - 07:39:53 | 20250331073953369298738W8QtUeNe | 307 |     101.902µs |             ::1 |     GET /auth/google/login
[SYS] 2025/03/31 - 07:39:55 | batch update started 
[SYS] 2025/03/31 - 07:39:55 | batch update finished 
[SYS] 2025/03/31 - 07:40:00 | batch update started 
[SYS] 2025/03/31 - 07:40:00 | batch update finished 
[SYS] 2025/03/31 - 07:40:05 | batch update started 
[SYS] 2025/03/31 - 07:40:05 | batch update finished 
[SYS] 2025/03/31 - 07:40:05 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:40:05 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:40:10 | batch update started 
[SYS] 2025/03/31 - 07:40:10 | batch update finished 
[SYS] 2025/03/31 - 07:40:14 | batch update started 
[SYS] 2025/03/31 - 07:40:14 | batch update finished 
[SYS] 2025/03/31 - 07:40:19 | batch update started 
[SYS] 2025/03/31 - 07:40:19 | batch update finished 
[SYS] 2025/03/31 - 07:40:19 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:40:19 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:40:24 | batch update started 
[SYS] 2025/03/31 - 07:40:24 | batch update finished 
[SYS] 2025/03/31 - 07:40:29 | batch update started 
[SYS] 2025/03/31 - 07:40:29 | batch update finished 
[SYS] 2025/03/31 - 07:40:34 | syncing options from database 
[SYS] 2025/03/31 - 07:40:34 | syncing channels from database 
[SYS] 2025/03/31 - 07:40:34 | batch update started 
[SYS] 2025/03/31 - 07:40:34 | batch update finished 
[SYS] 2025/03/31 - 07:40:34 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:40:34 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:40:34 | channels synced from database 
[SYS] 2025/03/31 - 07:40:39 | batch update started 
[SYS] 2025/03/31 - 07:40:39 | batch update finished 
[SYS] 2025/03/31 - 07:40:44 | batch update started 
[SYS] 2025/03/31 - 07:40:44 | batch update finished 
[SYS] 2025/03/31 - 07:40:49 | batch update started 
[SYS] 2025/03/31 - 07:40:49 | batch update finished 
[SYS] 2025/03/31 - 07:40:49 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:40:49 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:40:54 | batch update started 
[SYS] 2025/03/31 - 07:40:54 | batch update finished 
[SYS] 2025/03/31 - 07:40:59 | batch update started 
[SYS] 2025/03/31 - 07:40:59 | batch update finished 
[SYS] 2025/03/31 - 07:41:04 | batch update started 
[SYS] 2025/03/31 - 07:41:04 | batch update finished 
[SYS] 2025/03/31 - 07:41:04 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:41:04 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:41:09 | batch update started 
[SYS] 2025/03/31 - 07:41:09 | batch update finished 
[SYS] 2025/03/31 - 07:41:13 | batch update started 
[SYS] 2025/03/31 - 07:41:13 | batch update finished 
[SYS] 2025/03/31 - 07:41:18 | batch update started 
[SYS] 2025/03/31 - 07:41:18 | batch update finished 
[SYS] 2025/03/31 - 07:41:18 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:41:18 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:41:23 | batch update started 
[SYS] 2025/03/31 - 07:41:23 | batch update finished 
[SYS] 2025/03/31 - 07:41:28 | batch update started 
[SYS] 2025/03/31 - 07:41:28 | batch update finished 
[SYS] 2025/03/31 - 07:41:33 | batch update started 
[SYS] 2025/03/31 - 07:41:33 | batch update finished 
[SYS] 2025/03/31 - 07:41:33 | syncing options from database 
[SYS] 2025/03/31 - 07:41:33 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:41:33 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:41:33 | syncing channels from database 
[SYS] 2025/03/31 - 07:41:33 | channels synced from database 
[SYS] 2025/03/31 - 07:41:38 | batch update started 
[SYS] 2025/03/31 - 07:41:38 | batch update finished 
[SYS] 2025/03/31 - 07:41:43 | batch update started 
[SYS] 2025/03/31 - 07:41:43 | batch update finished 
[GIN] 2025/03/31 - 07:41:45 | 20250331074145125170290zKYwoLSm | 307 |    4.616577ms |             ::1 |     GET /auth/google/login
[SYS] 2025/03/31 - 07:41:48 | batch update started 
[SYS] 2025/03/31 - 07:41:48 | batch update finished 
[SYS] 2025/03/31 - 07:41:48 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:41:48 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:41:53 | batch update started 
[SYS] 2025/03/31 - 07:41:53 | batch update finished 
[SYS] 2025/03/31 - 07:41:58 | batch update started 
[SYS] 2025/03/31 - 07:41:58 | batch update finished 
[SYS] 2025/03/31 - 07:42:03 | batch update started 
[SYS] 2025/03/31 - 07:42:03 | batch update finished 
[SYS] 2025/03/31 - 07:42:03 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:42:03 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:42:08 | batch update started 
[SYS] 2025/03/31 - 07:42:08 | batch update finished 
[SYS] 2025/03/31 - 07:42:12 | batch update started 
[SYS] 2025/03/31 - 07:42:12 | batch update finished 
[SYS] 2025/03/31 - 07:42:17 | batch update started 
[SYS] 2025/03/31 - 07:42:17 | batch update finished 
[SYS] 2025/03/31 - 07:42:17 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:42:17 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:42:22 | batch update started 
[SYS] 2025/03/31 - 07:42:22 | batch update finished 
[SYS] 2025/03/31 - 07:42:27 | batch update started 
[SYS] 2025/03/31 - 07:42:27 | batch update finished 
[SYS] 2025/03/31 - 07:42:32 | syncing options from database 
[SYS] 2025/03/31 - 07:42:32 | batch update started 
[SYS] 2025/03/31 - 07:42:32 | batch update finished 
[SYS] 2025/03/31 - 07:42:32 | syncing channels from database 
[SYS] 2025/03/31 - 07:42:32 | channels synced from database 
[SYS] 2025/03/31 - 07:42:32 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:42:32 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:42:37 | batch update started 
[SYS] 2025/03/31 - 07:42:37 | batch update finished 
[SYS] 2025/03/31 - 07:42:42 | batch update started 
[SYS] 2025/03/31 - 07:42:42 | batch update finished 
[SYS] 2025/03/31 - 07:42:47 | batch update started 
[SYS] 2025/03/31 - 07:42:47 | batch update finished 
[SYS] 2025/03/31 - 07:42:47 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:42:47 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:42:52 | batch update started 
[SYS] 2025/03/31 - 07:42:52 | batch update finished 
[SYS] 2025/03/31 - 07:42:57 | batch update started 
[SYS] 2025/03/31 - 07:42:57 | batch update finished 
[SYS] 2025/03/31 - 07:43:02 | batch update started 
[SYS] 2025/03/31 - 07:43:02 | batch update finished 
[SYS] 2025/03/31 - 07:43:02 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:43:02 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:43:07 | batch update started 
[SYS] 2025/03/31 - 07:43:07 | batch update finished 
[SYS] 2025/03/31 - 07:43:11 | batch update started 
[SYS] 2025/03/31 - 07:43:11 | batch update finished 
[SYS] 2025/03/31 - 07:43:16 | batch update started 
[SYS] 2025/03/31 - 07:43:16 | batch update finished 
[SYS] 2025/03/31 - 07:43:16 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:43:16 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:43:21 | batch update started 
[SYS] 2025/03/31 - 07:43:21 | batch update finished 
[SYS] 2025/03/31 - 07:43:26 | batch update started 
[SYS] 2025/03/31 - 07:43:26 | batch update finished 
[SYS] 2025/03/31 - 07:43:31 | syncing options from database 
[SYS] 2025/03/31 - 07:43:31 | batch update started 
[SYS] 2025/03/31 - 07:43:31 | batch update finished 
[SYS] 2025/03/31 - 07:43:31 | syncing channels from database 
[SYS] 2025/03/31 - 07:43:31 | channels synced from database 
[SYS] 2025/03/31 - 07:43:31 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:43:31 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:43:36 | batch update started 
[SYS] 2025/03/31 - 07:43:36 | batch update finished 
[SYS] 2025/03/31 - 07:43:41 | batch update started 
[SYS] 2025/03/31 - 07:43:41 | batch update finished 
[SYS] 2025/03/31 - 07:43:46 | batch update started 
[SYS] 2025/03/31 - 07:43:46 | batch update finished 
[SYS] 2025/03/31 - 07:43:46 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:43:46 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:43:51 | batch update started 
[SYS] 2025/03/31 - 07:43:51 | batch update finished 
[SYS] 2025/03/31 - 07:43:56 | batch update started 
[SYS] 2025/03/31 - 07:43:56 | batch update finished 
[SYS] 2025/03/31 - 07:44:01 | batch update started 
[SYS] 2025/03/31 - 07:44:01 | batch update finished 
[SYS] 2025/03/31 - 07:44:01 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:44:01 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:44:06 | batch update started 
[SYS] 2025/03/31 - 07:44:06 | batch update finished 
[SYS] 2025/03/31 - 07:44:10 | batch update started 
[SYS] 2025/03/31 - 07:44:10 | batch update finished 
[SYS] 2025/03/31 - 07:44:15 | batch update started 
[SYS] 2025/03/31 - 07:44:15 | batch update finished 
[SYS] 2025/03/31 - 07:44:15 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:44:15 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:44:20 | batch update started 
[SYS] 2025/03/31 - 07:44:20 | batch update finished 
[SYS] 2025/03/31 - 07:44:25 | batch update started 
[SYS] 2025/03/31 - 07:44:25 | batch update finished 
[SYS] 2025/03/31 - 07:44:30 | 正在更新数据看板数据... 
[SYS] 2025/03/31 - 07:44:30 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/03/31 - 07:44:30 | syncing options from database 
[SYS] 2025/03/31 - 07:44:30 | batch update started 
[SYS] 2025/03/31 - 07:44:30 | batch update finished 
[SYS] 2025/03/31 - 07:44:30 | syncing channels from database 
[SYS] 2025/03/31 - 07:44:30 | channels synced from database 
[SYS] 2025/03/31 - 07:44:30 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:44:30 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:44:35 | batch update started 
[SYS] 2025/03/31 - 07:44:35 | batch update finished 
[SYS] 2025/03/31 - 07:44:40 | batch update started 
[SYS] 2025/03/31 - 07:44:40 | batch update finished 
[SYS] 2025/03/31 - 07:44:45 | batch update started 
[SYS] 2025/03/31 - 07:44:45 | batch update finished 
[SYS] 2025/03/31 - 07:44:45 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:44:45 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:44:50 | batch update started 
[SYS] 2025/03/31 - 07:44:50 | batch update finished 
[SYS] 2025/03/31 - 07:44:55 | batch update started 
[SYS] 2025/03/31 - 07:44:55 | batch update finished 
[SYS] 2025/03/31 - 07:45:00 | batch update started 
[SYS] 2025/03/31 - 07:45:00 | batch update finished 
[SYS] 2025/03/31 - 07:45:00 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:45:00 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:45:05 | batch update started 
[SYS] 2025/03/31 - 07:45:05 | batch update finished 
[SYS] 2025/03/31 - 07:45:09 | batch update started 
[SYS] 2025/03/31 - 07:45:09 | batch update finished 
[SYS] 2025/03/31 - 07:45:14 | batch update started 
[SYS] 2025/03/31 - 07:45:14 | batch update finished 
[SYS] 2025/03/31 - 07:45:14 | 任务进度轮询开始 
[SYS] 2025/03/31 - 07:45:14 | 任务进度轮询完成 
[SYS] 2025/03/31 - 07:45:19 | batch update started 
[SYS] 2025/03/31 - 07:45:19 | batch update finished 
[SYS] 2025/03/31 - 07:45:24 | batch update started 
[SYS] 2025/03/31 - 07:45:24 | batch update finished 
[SYS] 2025/03/31 - 07:45:29 | syncing options from database 
[SYS] 2025/03/31 - 07:45:29 | batch update started 
[SYS] 2025/03/31 - 07:45:29 | batch update finished 
[SYS] 2025/03/31 - 07:45:29 | syncing channels from database 
[SYS] 2025/03/31 - 07:45:29 | channels synced from database 
[SYS] 2025/03/31 - 07:45:29 | 任务进度轮询开始 
