[SYS] 2025/03/30 - 21:15:14 | New API v0.0.0 started 
[SYS] 2025/03/30 - 21:15:14 | using MySQL as database 
[SYS] 2025/03/30 - 21:15:14 | database migration started 
[SYS] 2025/03/30 - 21:15:15 | database migrated 
[SYS] 2025/03/30 - 21:15:15 | using MySQL as database 
[SYS] 2025/03/30 - 21:15:15 | database migration started 
[SYS] 2025/03/30 - 21:15:15 | Redis is enabled 
[SYS] 2025/03/30 - 21:15:15 | memory cache enabled 
[SYS] 2025/03/30 - 21:15:15 | sync frequency: 60 seconds 
[SYS] 2025/03/30 - 21:15:15 | channels synced from database 
[SYS] 2025/03/30 - 21:15:15 | batch update enabled with interval 5s 
[SYS] 2025/03/30 - 21:15:15 | pprof enabled 
[SYS] 2025/03/30 - 21:15:15 | initializing token encoders 
[SYS] 2025/03/30 - 21:15:15 | 正在更新数据看板数据... 
[SYS] 2025/03/30 - 21:15:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/03/30 - 21:15:15 | token encoders initialized 
[SYS] 2025/03/30 - 21:15:15 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/03/30 - 21:15:20 | batch update started 
[SYS] 2025/03/30 - 21:15:20 | batch update finished 
[SYS] 2025/03/30 - 21:15:25 | batch update started 
[SYS] 2025/03/30 - 21:15:25 | batch update finished 
[SYS] 2025/03/30 - 21:15:30 | 任务进度轮询开始 
[SYS] 2025/03/30 - 21:15:30 | batch update started 
[SYS] 2025/03/30 - 21:15:30 | batch update finished 
[SYS] 2025/03/30 - 21:15:30 | 任务进度轮询完成 
[GIN] 2025/03/30 - 21:15:34 | 20250330211534360902806fegIlk0e | 200 |      32.539ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534361512181v6pMlbS8 | 200 |    50.84817ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534385180847zyic2mse | 200 |  198.077178ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534385550264BLBzrBuT | 200 |  198.503794ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534411251558EpUx75uQ | 200 |    173.2081ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 202503302115344114511086INQPwsY | 200 |  173.356734ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534411603100uZfMeCLB | 200 |  173.457917ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534439626225qtb82uI9 | 200 |  145.658283ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534624197408vcdU4UTX | 200 |    1.995933ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534624563900LETeHSfu | 200 |    1.629875ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534624412450uvZycCkW | 200 |    2.082275ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534624695850epl9kPq6 | 200 |    1.988025ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534623991575AuaWq0z1 | 200 |     3.33255ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534624851200h1er4en8 | 200 |    2.735741ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534633370967qtcBUcnK | 200 |    10.02755ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534642974500NJ1VQorG | 200 |    1.133384ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534648558108bMAEVChu | 200 |      979.55µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534653111792mw4T8LSO | 200 |    1.214417ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534683745642qfEJD2xc | 200 |    1.004359ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534683955808r3IFZkPF | 200 |     1.10955ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534683490192vmELq4DL | 200 |      2.2243ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 202503302115346842911009GQ3xqAX | 200 |     2.40825ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 202503302115346874680833Yi4iFiA | 200 |     872.516µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534704688750iWyoXWFi | 200 |       1.898ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534737754900U3AVwh1l | 200 |    1.073042ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534741663242EUD2U4Ud | 200 |     875.442µs |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 2025033021153522488375YBdoUMpK | 200 |      1.7563ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:35 | 2025033021153526634183TQ0JvLg1 | 200 |     998.616µs |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 20250330211535823143754bxgwuMq | 200 |     2.38615ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:35 | 20250330211535951878420u2lPfE7 | 200 |    1.599542ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 20250330211535228782233YdXoRMJv | 200 |      945.75µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:35 | 202503302115352303330250mjIg3zO | 200 |    1.835492ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 2025033021153529280051741OEgN9R | 200 |     1.21875ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 20250330211535293037875isKMXVeY | 200 |    1.279091ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:35 | 20250330211535399035867JqM21O4u | 200 |    1.012483ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:35 | 20250330211535399296950Hzvzb2Nx | 200 |     860.925µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:35 | 20250330211535398999358e0yOxqdM | 200 |    1.015191ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 20250330211535399215267S83uHMnR | 200 |      1.1674ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 202503302115354937747751zPF50iT | 200 |     1.02375ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 20250330211535496609967AF9XG2D9 | 200 |     966.658µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:35 | 20250330211535586298700lVU0hJJ8 | 200 |    1.106408ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 20250330211535588523325ta0Krg5w | 200 |    1.022992ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:35 | 20250330211535678565550RCqINJ9O | 200 |    1.777967ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 202503302115356783843080673oI0k | 200 |    2.464475ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:35 | 20250330211535732248292maob2pDK | 200 |    1.663892ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:35 | 20250330211535743103725351E4bM7 | 200 |    1.121142ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 2025033021153580142681710rZG6dc | 200 |      1.0569ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:35 | 20250330211535804621675iRO6lSON | 200 |     726.483µs |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 202503302115358794799007ySarrss | 200 |    1.034583ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:35 | 20250330211535882819383o0hfxXbh | 200 |    1.255258ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 202503302115359265032832jYd9kaP | 200 |    1.189392ms |             ::1 |     GET /api/notice
