[SYS] 2025/04/15 - 15:15:14 | New API v0.0.0 started 
[SYS] 2025/04/15 - 15:15:14 | using MySQL as database 
[SYS] 2025/04/15 - 15:15:14 | database migration started 
[SYS] 2025/04/15 - 15:15:15 | database migrated 
[SYS] 2025/04/15 - 15:15:15 | using MySQL as database 
[SYS] 2025/04/15 - 15:15:15 | database migration started 
[SYS] 2025/04/15 - 15:15:15 | Redis is enabled 
[SYS] 2025/04/15 - 15:15:15 | memory cache enabled 
[SYS] 2025/04/15 - 15:15:15 | sync frequency: 60 seconds 
[SYS] 2025/04/15 - 15:15:15 | channels synced from database 
[SYS] 2025/04/15 - 15:15:15 | batch update enabled with interval 5s 
[SYS] 2025/04/15 - 15:15:15 | pprof enabled 
[SYS] 2025/04/15 - 15:15:15 | initializing token encoders 
[SYS] 2025/04/15 - 15:15:15 | 正在更新数据看板数据... 
[SYS] 2025/04/15 - 15:15:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/15 - 15:15:16 | token encoders initialized 
[SYS] 2025/04/15 - 15:15:16 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/04/15 - 15:15:20 | batch update started 
[SYS] 2025/04/15 - 15:15:20 | batch update finished 
[SYS] 2025/04/15 - 15:15:25 | batch update started 
[SYS] 2025/04/15 - 15:15:25 | batch update finished 
[SYS] 2025/04/15 - 15:15:30 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:15:30 | batch update started 
[SYS] 2025/04/15 - 15:15:30 | batch update finished 
[SYS] 2025/04/15 - 15:15:30 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:15:33 | batch update started 
[SYS] 2025/04/15 - 15:15:33 | batch update finished 
[SYS] 2025/04/15 - 15:15:38 | batch update started 
[SYS] 2025/04/15 - 15:15:38 | batch update finished 
[GIN] 2025/04/15 - 15:15:40 | 20250415151539882946356702CSblx | 200 |  188.550046ms |             ::1 |     PUT /api/option/
[GIN] 2025/04/15 - 15:15:40 | 2025041515154096084445ZLI4gf3s | 200 |    96.88826ms |             ::1 |     PUT /api/option/
[SYS] 2025/04/15 - 15:15:43 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:15:43 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:15:43 | batch update started 
[SYS] 2025/04/15 - 15:15:43 | batch update finished 
[GIN] 2025/04/15 - 15:15:44 | 20250415151544974295638Xbj2AIY7 | 200 |    1.047331ms |             ::1 |     GET /setting?tab=system
[GIN] 2025/04/15 - 15:15:47 | 202504151515472128384228QT7DUoD | 200 |    1.314834ms |             ::1 |     GET /api/status
[GIN] 2025/04/15 - 15:15:47 | 202504151515475018285223o7xHJBs | 200 |    1.792895ms |             ::1 |     GET /api/option/
[SYS] 2025/04/15 - 15:15:48 | batch update started 
[SYS] 2025/04/15 - 15:15:48 | batch update finished 
[SYS] 2025/04/15 - 15:15:53 | batch update started 
[SYS] 2025/04/15 - 15:15:53 | batch update finished 
[SYS] 2025/04/15 - 15:15:58 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:15:58 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:15:58 | batch update started 
[SYS] 2025/04/15 - 15:15:58 | batch update finished 
[SYS] 2025/04/15 - 15:16:02 | batch update started 
[SYS] 2025/04/15 - 15:16:02 | batch update finished 
[SYS] 2025/04/15 - 15:16:07 | batch update started 
[SYS] 2025/04/15 - 15:16:07 | batch update finished 
[SYS] 2025/04/15 - 15:16:12 | syncing channels from database 
[SYS] 2025/04/15 - 15:16:12 | syncing options from database 
[SYS] 2025/04/15 - 15:16:12 | channels synced from database 
[SYS] 2025/04/15 - 15:16:12 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:16:12 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:16:12 | batch update started 
[SYS] 2025/04/15 - 15:16:12 | batch update finished 
[SYS] 2025/04/15 - 15:16:17 | batch update started 
[SYS] 2025/04/15 - 15:16:17 | batch update finished 
[SYS] 2025/04/15 - 15:16:22 | batch update started 
[SYS] 2025/04/15 - 15:16:22 | batch update finished 
[SYS] 2025/04/15 - 15:16:27 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:16:27 | batch update started 
[SYS] 2025/04/15 - 15:16:27 | batch update finished 
[SYS] 2025/04/15 - 15:16:27 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:16:32 | batch update started 
[SYS] 2025/04/15 - 15:16:32 | batch update finished 
[SYS] 2025/04/15 - 15:16:35 | batch update started 
[SYS] 2025/04/15 - 15:16:35 | batch update finished 
[SYS] 2025/04/15 - 15:16:40 | batch update started 
[SYS] 2025/04/15 - 15:16:40 | batch update finished 
[SYS] 2025/04/15 - 15:16:40 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:16:40 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:16:45 | batch update started 
[SYS] 2025/04/15 - 15:16:45 | batch update finished 
[SYS] 2025/04/15 - 15:16:50 | batch update started 
[SYS] 2025/04/15 - 15:16:50 | batch update finished 
[SYS] 2025/04/15 - 15:16:55 | batch update started 
[SYS] 2025/04/15 - 15:16:55 | batch update finished 
[SYS] 2025/04/15 - 15:16:55 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:16:55 | 任务进度轮询完成 
[GIN] 2025/04/15 - 15:16:58 | 20250415151658371334060dUNlQRDw | 200 |    2.462324ms |             ::1 |     GET /setting?tab=system
[GIN] 2025/04/15 - 15:17:00 | 2025041515170025482077KrS9q14l | 200 |    1.381039ms |             ::1 |     GET /api/status
[GIN] 2025/04/15 - 15:17:00 | 20250415151700228903252aWCXpKB7 | 200 |    2.035464ms |             ::1 |     GET /api/option/
[SYS] 2025/04/15 - 15:17:00 | batch update started 
[SYS] 2025/04/15 - 15:17:00 | batch update finished 
[SYS] 2025/04/15 - 15:17:04 | batch update started 
[SYS] 2025/04/15 - 15:17:04 | batch update finished 
[SYS] 2025/04/15 - 15:17:09 | syncing channels from database 
[SYS] 2025/04/15 - 15:17:09 | channels synced from database 
[SYS] 2025/04/15 - 15:17:09 | syncing options from database 
[SYS] 2025/04/15 - 15:17:09 | batch update started 
[SYS] 2025/04/15 - 15:17:09 | batch update finished 
[SYS] 2025/04/15 - 15:17:09 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:17:09 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:17:14 | batch update started 
[SYS] 2025/04/15 - 15:17:14 | batch update finished 
[SYS] 2025/04/15 - 15:17:19 | batch update started 
[SYS] 2025/04/15 - 15:17:19 | batch update finished 
[SYS] 2025/04/15 - 15:17:24 | batch update started 
[SYS] 2025/04/15 - 15:17:24 | batch update finished 
[SYS] 2025/04/15 - 15:17:24 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:17:24 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:17:29 | batch update started 
[SYS] 2025/04/15 - 15:17:29 | batch update finished 
[SYS] 2025/04/15 - 15:17:34 | batch update started 
[SYS] 2025/04/15 - 15:17:34 | batch update finished 
[SYS] 2025/04/15 - 15:17:37 | batch update started 
[SYS] 2025/04/15 - 15:17:37 | batch update finished 
[SYS] 2025/04/15 - 15:17:37 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:17:37 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:17:42 | batch update started 
[SYS] 2025/04/15 - 15:17:42 | batch update finished 
[SYS] 2025/04/15 - 15:17:47 | batch update started 
[SYS] 2025/04/15 - 15:17:47 | batch update finished 
[SYS] 2025/04/15 - 15:17:52 | batch update started 
[SYS] 2025/04/15 - 15:17:52 | batch update finished 
[SYS] 2025/04/15 - 15:17:52 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:17:52 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:17:57 | batch update started 
[SYS] 2025/04/15 - 15:17:57 | batch update finished 
[SYS] 2025/04/15 - 15:18:02 | batch update started 
[SYS] 2025/04/15 - 15:18:02 | batch update finished 
[SYS] 2025/04/15 - 15:18:06 | syncing channels from database 
[SYS] 2025/04/15 - 15:18:06 | syncing options from database 
[SYS] 2025/04/15 - 15:18:06 | channels synced from database 
[SYS] 2025/04/15 - 15:18:06 | batch update started 
[SYS] 2025/04/15 - 15:18:06 | batch update finished 
[SYS] 2025/04/15 - 15:18:06 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:18:06 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:18:11 | batch update started 
[SYS] 2025/04/15 - 15:18:11 | batch update finished 
[SYS] 2025/04/15 - 15:18:16 | batch update started 
[SYS] 2025/04/15 - 15:18:16 | batch update finished 
[SYS] 2025/04/15 - 15:18:21 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:18:21 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:18:21 | batch update started 
[SYS] 2025/04/15 - 15:18:21 | batch update finished 
[SYS] 2025/04/15 - 15:18:26 | batch update started 
[SYS] 2025/04/15 - 15:18:26 | batch update finished 
[SYS] 2025/04/15 - 15:18:31 | batch update started 
[SYS] 2025/04/15 - 15:18:31 | batch update finished 
[SYS] 2025/04/15 - 15:18:36 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:18:36 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:18:36 | batch update started 
[SYS] 2025/04/15 - 15:18:36 | batch update finished 
[SYS] 2025/04/15 - 15:18:39 | batch update started 
[SYS] 2025/04/15 - 15:18:39 | batch update finished 
[SYS] 2025/04/15 - 15:18:44 | batch update started 
[SYS] 2025/04/15 - 15:18:44 | batch update finished 
[SYS] 2025/04/15 - 15:18:49 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:18:49 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:18:49 | batch update started 
[SYS] 2025/04/15 - 15:18:49 | batch update finished 
[SYS] 2025/04/15 - 15:18:54 | batch update started 
[SYS] 2025/04/15 - 15:18:54 | batch update finished 
[SYS] 2025/04/15 - 15:18:59 | batch update started 
[SYS] 2025/04/15 - 15:18:59 | batch update finished 
[SYS] 2025/04/15 - 15:19:04 | syncing channels from database 
[SYS] 2025/04/15 - 15:19:04 | syncing options from database 
[SYS] 2025/04/15 - 15:19:04 | channels synced from database 
[SYS] 2025/04/15 - 15:19:04 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:19:04 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:19:04 | batch update started 
[SYS] 2025/04/15 - 15:19:04 | batch update finished 
[SYS] 2025/04/15 - 15:19:08 | batch update started 
[SYS] 2025/04/15 - 15:19:08 | batch update finished 
[SYS] 2025/04/15 - 15:19:13 | batch update started 
[SYS] 2025/04/15 - 15:19:13 | batch update finished 
[SYS] 2025/04/15 - 15:19:18 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:19:18 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:19:18 | batch update started 
[SYS] 2025/04/15 - 15:19:18 | batch update finished 
[SYS] 2025/04/15 - 15:19:23 | batch update started 
[SYS] 2025/04/15 - 15:19:23 | batch update finished 
[SYS] 2025/04/15 - 15:19:28 | batch update started 
[SYS] 2025/04/15 - 15:19:28 | batch update finished 
[SYS] 2025/04/15 - 15:19:33 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:19:33 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:19:33 | batch update started 
