[SYS] 2025/04/22 - 10:15:02 | New API v0.0.0 started 
[SYS] 2025/04/22 - 10:15:02 | using MySQL as database 
[SYS] 2025/04/22 - 10:15:02 | database migration started 
[SYS] 2025/04/22 - 10:15:03 | database migrated 
[SYS] 2025/04/22 - 10:15:03 | using MySQL as database 
[SYS] 2025/04/22 - 10:15:03 | database migration started 
[SYS] 2025/04/22 - 10:15:04 | Redis is enabled 
[SYS] 2025/04/22 - 10:15:04 | memory cache enabled 
[SYS] 2025/04/22 - 10:15:04 | sync frequency: 60 seconds 
[SYS] 2025/04/22 - 10:15:04 | channels synced from database 
[SYS] 2025/04/22 - 10:15:04 | batch update enabled with interval 5s 
[SYS] 2025/04/22 - 10:15:04 | pprof enabled 
[SYS] 2025/04/22 - 10:15:04 | initializing token encoders 
[SYS] 2025/04/22 - 10:15:04 | 正在更新数据看板数据... 
[SYS] 2025/04/22 - 10:15:04 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/22 - 10:15:06 | token encoders initialized 
[SYS] 2025/04/22 - 10:15:06 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/04/22 - 10:15:26 | batch update started 
[SYS] 2025/04/22 - 10:15:28 | batch update finished 
[SYS] 2025/04/22 - 10:15:26 | 任务进度轮询开始 
[SYS] 2025/04/22 - 10:15:28 | 任务进度轮询完成 
[SYS] 2025/04/22 - 17:21:15 | batch update started 
[SYS] 2025/04/22 - 17:21:15 | batch update finished 
[SYS] 2025/04/22 - 17:21:20 | batch update started 
[SYS] 2025/04/22 - 17:21:20 | batch update finished 
[SYS] 2025/04/22 - 17:21:25 | batch update started 
[SYS] 2025/04/22 - 17:21:25 | batch update finished 
[SYS] 2025/04/22 - 17:21:25 | 任务进度轮询开始 
[SYS] 2025/04/22 - 17:21:25 | 任务进度轮询完成 
[SYS] 2025/04/22 - 17:21:30 | batch update started 
[SYS] 2025/04/22 - 17:21:30 | batch update finished 
[SYS] 2025/04/22 - 17:49:56 | batch update started 
[SYS] 2025/04/22 - 17:49:58 | batch update finished 
[SYS] 2025/04/22 - 17:50:02 | 任务进度轮询开始 
[SYS] 2025/04/22 - 17:50:02 | 任务进度轮询完成 
[SYS] 2025/04/22 - 17:50:03 | batch update started 
[SYS] 2025/04/22 - 17:50:03 | batch update finished 
[SYS] 2025/04/22 - 17:50:07 | syncing channels from database 
[SYS] 2025/04/22 - 17:50:07 | syncing options from database 
[SYS] 2025/04/22 - 17:50:08 | batch update started 
[SYS] 2025/04/22 - 17:50:07 | batch update finished 
[SYS] 2025/04/22 - 17:50:06 | channels synced from database 
[SYS] 2025/04/22 - 17:50:12 | batch update started 
[SYS] 2025/04/22 - 17:50:13 | batch update finished 
[SYS] 2025/04/22 - 17:50:14 | 任务进度轮询开始 
[SYS] 2025/04/22 - 17:50:14 | 任务进度轮询完成 
