[SYS] 2025/03/30 - 23:33:49 | New API v0.0.0 started 
[SYS] 2025/03/30 - 23:33:49 | using MySQL as database 
[SYS] 2025/03/30 - 23:33:49 | database migration started 
[SYS] 2025/03/30 - 23:33:50 | database migrated 
[SYS] 2025/03/30 - 23:33:50 | using MySQL as database 
[SYS] 2025/03/30 - 23:33:50 | database migration started 
[SYS] 2025/03/30 - 23:33:50 | Redis is enabled 
[SYS] 2025/03/30 - 23:33:50 | memory cache enabled 
[SYS] 2025/03/30 - 23:33:50 | sync frequency: 60 seconds 
[SYS] 2025/03/30 - 23:33:50 | channels synced from database 
[SYS] 2025/03/30 - 23:33:50 | batch update enabled with interval 5s 
[SYS] 2025/03/30 - 23:33:50 | 正在更新数据看板数据... 
[SYS] 2025/03/30 - 23:33:50 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/03/30 - 23:33:50 | pprof enabled 
[SYS] 2025/03/30 - 23:33:50 | initializing token encoders 
[SYS] 2025/03/30 - 23:33:51 | token encoders initialized 
[SYS] 2025/03/30 - 23:33:51 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/03/30 - 23:33:55 | batch update started 
[SYS] 2025/03/30 - 23:33:55 | batch update finished 
[SYS] 2025/03/30 - 23:34:00 | batch update started 
[SYS] 2025/03/30 - 23:34:00 | batch update finished 
[SYS] 2025/03/30 - 23:34:05 | 任务进度轮询开始 
[SYS] 2025/03/30 - 23:34:05 | 任务进度轮询完成 
[SYS] 2025/03/30 - 23:34:05 | batch update started 
[SYS] 2025/03/30 - 23:34:05 | batch update finished 
[SYS] 2025/03/30 - 23:34:07 | batch update started 
[SYS] 2025/03/30 - 23:34:07 | batch update finished 
[SYS] 2025/03/30 - 23:34:12 | batch update started 
[SYS] 2025/03/30 - 23:34:12 | batch update finished 
[SYS] 2025/03/30 - 23:34:17 | 任务进度轮询开始 
[SYS] 2025/03/30 - 23:34:17 | 任务进度轮询完成 
[SYS] 2025/03/30 - 23:34:17 | batch update started 
[SYS] 2025/03/30 - 23:34:17 | batch update finished 
[SYS] 2025/03/30 - 23:34:22 | batch update started 
[SYS] 2025/03/30 - 23:34:22 | batch update finished 
[GIN] 2025/03/30 - 23:34:23 | 2025033023342358111105nfudOQlw | 200 |    2.946125ms |             ::1 |     GET /login
[GIN] 2025/03/30 - 23:34:23 | 20250330233423239113572VdJw22g7 | 200 |  173.443725ms |             ::1 |     GET /assets/index-Byz05GQa.js
[GIN] 2025/03/30 - 23:34:26 | 2025033023342648420905KmbLAEpk | 200 |    1.191559ms |             ::1 |     GET /api/status
[SYS] 2025/03/30 - 23:34:27 | batch update started 
[SYS] 2025/03/30 - 23:34:27 | batch update finished 
[SYS] 2025/03/30 - 23:34:32 | 任务进度轮询开始 
[SYS] 2025/03/30 - 23:34:32 | 任务进度轮询完成 
[SYS] 2025/03/30 - 23:34:32 | batch update started 
[SYS] 2025/03/30 - 23:34:32 | batch update finished 
[SYS] 2025/03/30 - 23:34:35 | batch update started 
[SYS] 2025/03/30 - 23:34:35 | batch update finished 
[SYS] 2025/03/30 - 23:34:40 | batch update started 
[SYS] 2025/03/30 - 23:34:40 | batch update finished 
[SYS] 2025/03/30 - 23:34:45 | syncing channels from database 
[SYS] 2025/03/30 - 23:34:45 | syncing options from database 
[SYS] 2025/03/30 - 23:34:45 | channels synced from database 
[SYS] 2025/03/30 - 23:34:45 | 任务进度轮询开始 
[SYS] 2025/03/30 - 23:34:45 | 任务进度轮询完成 
[SYS] 2025/03/30 - 23:34:45 | batch update started 
[SYS] 2025/03/30 - 23:34:45 | batch update finished 
[SYS] 2025/03/30 - 23:34:50 | batch update started 
[SYS] 2025/03/30 - 23:34:50 | batch update finished 
[SYS] 2025/03/30 - 23:34:55 | batch update started 
[SYS] 2025/03/30 - 23:34:55 | batch update finished 
[GIN] 2025/03/30 - 23:34:57 | 20250330233457213803089bxZRG2to | 307 |     273.434µs |             ::1 |     GET /auth/google/login
[SYS] 2025/03/30 - 23:35:00 | 任务进度轮询开始 
[SYS] 2025/03/30 - 23:35:00 | 任务进度轮询完成 
[SYS] 2025/03/30 - 23:35:00 | batch update started 
[SYS] 2025/03/30 - 23:35:00 | batch update finished 
[SYS] 2025/03/30 - 23:35:03 | batch update started 
[SYS] 2025/03/30 - 23:35:03 | batch update finished 
[SYS] 2025/03/30 - 23:35:08 | batch update started 
[SYS] 2025/03/30 - 23:35:08 | batch update finished 
[SYS] 2025/03/30 - 23:35:13 | 任务进度轮询开始 
[SYS] 2025/03/30 - 23:35:13 | 任务进度轮询完成 
[SYS] 2025/03/30 - 23:35:13 | batch update started 
[SYS] 2025/03/30 - 23:35:13 | batch update finished 
[SYS] 2025/03/30 - 23:35:18 | batch update started 
[SYS] 2025/03/30 - 23:35:18 | batch update finished 
[SYS] 2025/03/30 - 23:35:23 | batch update started 
[SYS] 2025/03/30 - 23:35:23 | batch update finished 
[SYS] 2025/03/30 - 23:35:28 | 任务进度轮询开始 
[SYS] 2025/03/30 - 23:35:28 | 任务进度轮询完成 
[SYS] 2025/03/30 - 23:35:28 | batch update started 
[SYS] 2025/03/30 - 23:35:28 | batch update finished 
[SYS] 2025/03/30 - 23:35:30 | batch update started 
[SYS] 2025/03/30 - 23:35:30 | batch update finished 
[SYS] 2025/03/30 - 23:35:35 | batch update started 
[SYS] 2025/03/30 - 23:35:35 | batch update finished 
[SYS] 2025/03/30 - 23:35:40 | syncing channels from database 
[SYS] 2025/03/30 - 23:35:40 | channels synced from database 
[SYS] 2025/03/30 - 23:35:40 | syncing options from database 
[SYS] 2025/03/30 - 23:35:40 | 任务进度轮询开始 
[SYS] 2025/03/30 - 23:35:40 | 任务进度轮询完成 
[SYS] 2025/03/30 - 23:35:40 | batch update started 
[SYS] 2025/03/30 - 23:35:40 | batch update finished 
[SYS] 2025/03/30 - 23:35:45 | batch update started 
[SYS] 2025/03/30 - 23:35:45 | batch update finished 
[SYS] 2025/03/30 - 23:35:50 | batch update started 
[SYS] 2025/03/30 - 23:35:50 | batch update finished 
[SYS] 2025/03/30 - 23:35:55 | 任务进度轮询开始 
[SYS] 2025/03/30 - 23:35:55 | 任务进度轮询完成 
[SYS] 2025/03/30 - 23:35:55 | batch update started 
[SYS] 2025/03/30 - 23:35:55 | batch update finished 
[SYS] 2025/03/30 - 23:35:58 | batch update started 
[SYS] 2025/03/30 - 23:35:58 | batch update finished 
[SYS] 2025/03/30 - 23:36:03 | batch update started 
[SYS] 2025/03/30 - 23:36:03 | batch update finished 
[SYS] 2025/03/30 - 23:36:08 | 任务进度轮询开始 
[SYS] 2025/03/30 - 23:36:08 | 任务进度轮询完成 
[SYS] 2025/03/30 - 23:36:08 | batch update started 
[SYS] 2025/03/30 - 23:36:08 | batch update finished 
[SYS] 2025/03/30 - 23:36:13 | batch update started 
[SYS] 2025/03/30 - 23:36:13 | batch update finished 
[SYS] 2025/03/30 - 23:36:18 | batch update started 
[SYS] 2025/03/30 - 23:36:18 | batch update finished 
[SYS] 2025/03/30 - 23:36:23 | 任务进度轮询开始 
[SYS] 2025/03/30 - 23:36:23 | 任务进度轮询完成 
[SYS] 2025/03/30 - 23:36:23 | batch update started 
[SYS] 2025/03/30 - 23:36:23 | batch update finished 
[SYS] 2025/03/30 - 23:36:26 | batch update started 
[SYS] 2025/03/30 - 23:36:26 | batch update finished 
[SYS] 2025/03/30 - 23:36:31 | batch update started 
[SYS] 2025/03/30 - 23:36:31 | batch update finished 
[SYS] 2025/03/30 - 23:36:36 | syncing channels from database 
[SYS] 2025/03/30 - 23:36:36 | channels synced from database 
[SYS] 2025/03/30 - 23:36:36 | syncing options from database 
