[SYS] 2025/04/14 - 01:03:46 | New API v0.0.0 started 
[SYS] 2025/04/14 - 01:03:46 | using MySQL as database 
[SYS] 2025/04/14 - 01:03:47 | database migration started 
[SYS] 2025/04/14 - 01:03:48 | database migrated 
[SYS] 2025/04/14 - 01:03:48 | using MySQL as database 
[SYS] 2025/04/14 - 01:03:48 | database migration started 
[SYS] 2025/04/14 - 01:03:49 | Redis is enabled 
[SYS] 2025/04/14 - 01:03:49 | memory cache enabled 
[SYS] 2025/04/14 - 01:03:49 | sync frequency: 60 seconds 
[SYS] 2025/04/14 - 01:03:49 | channels synced from database 
[SYS] 2025/04/14 - 01:03:49 | batch update enabled with interval 5s 
[SYS] 2025/04/14 - 01:03:49 | pprof enabled 
[SYS] 2025/04/14 - 01:03:49 | initializing token encoders 
[SYS] 2025/04/14 - 01:03:49 | 正在更新数据看板数据... 
[SYS] 2025/04/14 - 01:03:49 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/14 - 01:03:51 | token encoders initialized 
[SYS] 2025/04/14 - 01:03:51 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/04/14 - 01:03:54 | batch update started 
[SYS] 2025/04/14 - 01:03:54 | batch update finished 
[SYS] 2025/04/14 - 01:03:59 | batch update started 
[SYS] 2025/04/14 - 01:03:59 | batch update finished 
[SYS] 2025/04/14 - 01:04:05 | batch update started 
[SYS] 2025/04/14 - 01:04:05 | batch update finished 
[SYS] 2025/04/14 - 01:04:05 | 任务进度轮询开始 
[SYS] 2025/04/14 - 01:04:05 | 任务进度轮询完成 
[SYS] 2025/04/14 - 01:04:10 | batch update started 
[SYS] 2025/04/14 - 01:04:10 | batch update finished 
[SYS] 2025/04/14 - 01:04:15 | batch update started 
[SYS] 2025/04/14 - 01:04:15 | batch update finished 
[GIN] 2025/04/14 - 01:04:17 | 2025041401041781787834KhpHGiOf | 200 |   80.061341ms |             ::1 |     GET /api/user/self
[GIN] 2025/04/14 - 01:04:17 | 20250414010416960913986d76RDBzO | 200 |  346.661473ms |             ::1 |     GET /api/data/?username=&start_timestamp=1744502656&end_timestamp=1744592656&default_time=hour
[SYS] 2025/04/14 - 01:04:20 | batch update started 
[SYS] 2025/04/14 - 01:04:20 | batch update finished 
[SYS] 2025/04/14 - 01:04:20 | 任务进度轮询开始 
[SYS] 2025/04/14 - 01:04:20 | 任务进度轮询完成 
[GIN] 2025/04/14 - 01:04:22 | 20250414010422212167663Lx9HjDvy | 200 |    6.467825ms |             ::1 |     GET /api/option/
[GIN] 2025/04/14 - 01:04:22 | 20250414010422211825418d3E8oTgy | 200 |    33.19897ms |             ::1 |     GET /api/channel/models_enabled
[GIN] 2025/04/14 - 01:04:24 | 202504140104242302991627GR0WuG6 | 200 |    2.247025ms |             ::1 |     GET /api/option/
[SYS] 2025/04/14 - 01:04:25 | batch update started 
[SYS] 2025/04/14 - 01:04:25 | batch update finished 
[SYS] 2025/04/14 - 01:04:30 | batch update started 
[SYS] 2025/04/14 - 01:04:30 | batch update finished 
[SYS] 2025/04/14 - 01:04:35 | batch update started 
[SYS] 2025/04/14 - 01:04:35 | batch update finished 
[SYS] 2025/04/14 - 01:04:35 | 任务进度轮询开始 
[SYS] 2025/04/14 - 01:04:35 | 任务进度轮询完成 
[SYS] 2025/04/14 - 01:04:40 | batch update started 
[SYS] 2025/04/14 - 01:04:40 | batch update finished 
[SYS] 2025/04/14 - 01:04:45 | batch update started 
[SYS] 2025/04/14 - 01:04:45 | batch update finished 
[SYS] 2025/04/14 - 01:04:50 | syncing channels from database 
[SYS] 2025/04/14 - 01:04:50 | syncing options from database 
[SYS] 2025/04/14 - 01:04:50 | channels synced from database 
[SYS] 2025/04/14 - 01:04:50 | batch update started 
[SYS] 2025/04/14 - 01:04:50 | batch update finished 
[SYS] 2025/04/14 - 01:04:51 | 任务进度轮询开始 
[SYS] 2025/04/14 - 01:04:51 | 任务进度轮询完成 
[SYS] 2025/04/14 - 01:04:55 | batch update started 
[SYS] 2025/04/14 - 01:04:55 | batch update finished 
[SYS] 2025/04/14 - 01:05:00 | batch update started 
[SYS] 2025/04/14 - 01:05:00 | batch update finished 
[SYS] 2025/04/14 - 01:05:05 | batch update started 
[SYS] 2025/04/14 - 01:05:05 | batch update finished 
[SYS] 2025/04/14 - 01:05:06 | 任务进度轮询开始 
[SYS] 2025/04/14 - 01:05:06 | 任务进度轮询完成 
[SYS] 2025/04/14 - 01:05:11 | batch update started 
[SYS] 2025/04/14 - 01:05:11 | batch update finished 
[SYS] 2025/04/14 - 01:05:16 | batch update started 
[SYS] 2025/04/14 - 01:05:16 | batch update finished 
[SYS] 2025/04/14 - 01:05:21 | batch update started 
[SYS] 2025/04/14 - 01:05:21 | batch update finished 
[SYS] 2025/04/14 - 01:05:21 | 任务进度轮询开始 
[SYS] 2025/04/14 - 01:05:21 | 任务进度轮询完成 
[SYS] 2025/04/14 - 01:05:26 | batch update started 
[SYS] 2025/04/14 - 01:05:26 | batch update finished 
[SYS] 2025/04/14 - 01:05:31 | batch update started 
