[SYS] 2025/04/05 - 19:40:54 | New API v0.0.0 started 
[SYS] 2025/04/05 - 19:40:54 | using MySQL as database 
[SYS] 2025/04/05 - 19:40:54 | database migration started 
[SYS] 2025/04/05 - 19:40:55 | database migrated 
[SYS] 2025/04/05 - 19:40:55 | using MySQL as database 
[SYS] 2025/04/05 - 19:40:55 | database migration started 
[SYS] 2025/04/05 - 19:40:55 | Redis is enabled 
[SYS] 2025/04/05 - 19:40:55 | memory cache enabled 
[SYS] 2025/04/05 - 19:40:55 | sync frequency: 60 seconds 
[SYS] 2025/04/05 - 19:40:55 | channels synced from database 
[SYS] 2025/04/05 - 19:40:55 | batch update enabled with interval 5s 
[SYS] 2025/04/05 - 19:40:55 | 正在更新数据看板数据... 
[SYS] 2025/04/05 - 19:40:55 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/05 - 19:40:55 | pprof enabled 
[SYS] 2025/04/05 - 19:40:55 | initializing token encoders 
[SYS] 2025/04/05 - 19:40:56 | token encoders initialized 
[SYS] 2025/04/05 - 19:40:56 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/04/05 - 19:41:00 | batch update started 
[SYS] 2025/04/05 - 19:41:00 | batch update finished 
[GIN] 2025/04/05 - 19:41:03 | 20250405194103800395207214PMM15 | 200 |   18.460717ms |             ::1 |     GET /topup
[GIN] 2025/04/05 - 19:41:04 | 20250405194104133098916clxTmz9X | 200 |    115.9334ms |             ::1 |     GET /assets/index-y91yqORp.js
[SYS] 2025/04/05 - 19:41:05 | batch update started 
[SYS] 2025/04/05 - 19:41:05 | batch update finished 
[GIN] 2025/04/05 - 19:41:07 | 20250405194107426769679Ue5aKn52 | 200 |    1.087758ms |             ::1 |     GET /api/status
[GIN] 2025/04/05 - 19:41:07 | 20250405194107431665258EyPXZO8g | 200 |   69.243051ms |             ::1 |     GET /api/user/self
[SYS] 2025/04/05 - 19:41:10 | 任务进度轮询开始 
[SYS] 2025/04/05 - 19:41:10 | 任务进度轮询完成 
[SYS] 2025/04/05 - 19:41:10 | batch update started 
[SYS] 2025/04/05 - 19:41:10 | batch update finished 
[GIN] 2025/04/05 - 19:41:14 | 202504051941148083268360PVZ9gId | 200 |    4.872145ms |             ::1 |    POST /api/user/amount
[GIN] 2025/04/05 - 19:41:15 | 20250405194115522059539WCtEhYHX | 200 |    2.975422ms |             ::1 |    POST /api/user/amount
[SYS] 2025/04/05 - 19:41:15 | batch update started 
[SYS] 2025/04/05 - 19:41:15 | batch update finished 
[GIN] 2025/04/05 - 19:41:17 | 202504051941175644121957vkGSLrx | 200 |    4.530673ms |             ::1 |    POST /api/user/pay
[SYS] 2025/04/05 - 19:41:20 | batch update started 
[SYS] 2025/04/05 - 19:41:20 | batch update finished 
[GIN] 2025/04/05 - 19:41:21 | 20250405194121740228015aNh240xr | 200 |     2.37101ms |             ::1 |    POST /api/user/pay
[GIN] 2025/04/05 - 19:41:26 | 20250405194126713296505lMJtSQD4 | 200 |   20.091566ms |             ::1 |    POST /api/user/pay
[SYS] 2025/04/05 - 19:41:26 | 任务进度轮询开始 
[SYS] 2025/04/05 - 19:41:26 | batch update started 
[SYS] 2025/04/05 - 19:41:26 | batch update finished 
[SYS] 2025/04/05 - 19:41:26 | 任务进度轮询完成 
[GIN] 2025/04/05 - 19:41:30 | 20250405194130300336165wBEJS3bc | 200 |    2.171217ms |             ::1 |    POST /api/user/pay
[SYS] 2025/04/05 - 19:41:31 | batch update started 
[SYS] 2025/04/05 - 19:41:31 | batch update finished 
[GIN] 2025/04/05 - 19:41:34 | 20250405194134502142323haH5wvGl | 200 |    2.443867ms |             ::1 |    POST /api/user/pay
[SYS] 2025/04/05 - 19:41:36 | batch update started 
[SYS] 2025/04/05 - 19:41:36 | batch update finished 
[SYS] 2025/04/05 - 19:41:41 | 任务进度轮询开始 
[SYS] 2025/04/05 - 19:41:41 | batch update started 
[SYS] 2025/04/05 - 19:41:41 | batch update finished 
[SYS] 2025/04/05 - 19:41:41 | 任务进度轮询完成 
[SYS] 2025/04/05 - 19:41:46 | batch update started 
[SYS] 2025/04/05 - 19:41:46 | batch update finished 
[SYS] 2025/04/05 - 19:41:51 | batch update started 
[SYS] 2025/04/05 - 19:41:51 | batch update finished 
[SYS] 2025/04/05 - 19:41:58 | syncing channels from database 
[SYS] 2025/04/05 - 19:41:58 | syncing options from database 
[SYS] 2025/04/05 - 19:41:58 | channels synced from database 
[SYS] 2025/04/05 - 19:41:58 | 任务进度轮询开始 
[SYS] 2025/04/05 - 19:41:58 | 任务进度轮询完成 
[SYS] 2025/04/05 - 19:41:58 | batch update started 
[SYS] 2025/04/05 - 19:41:58 | batch update finished 
[SYS] 2025/04/05 - 19:42:03 | batch update started 
[SYS] 2025/04/05 - 19:42:03 | batch update finished 
[SYS] 2025/04/05 - 19:42:08 | batch update started 
[SYS] 2025/04/05 - 19:42:08 | batch update finished 
[SYS] 2025/04/05 - 19:42:13 | 任务进度轮询开始 
[SYS] 2025/04/05 - 19:42:13 | 任务进度轮询完成 
[SYS] 2025/04/05 - 19:42:13 | batch update started 
[SYS] 2025/04/05 - 19:42:13 | batch update finished 
[SYS] 2025/04/05 - 19:42:18 | batch update started 
[SYS] 2025/04/05 - 19:42:18 | batch update finished 
[SYS] 2025/04/05 - 19:42:23 | batch update started 
[SYS] 2025/04/05 - 19:42:23 | batch update finished 
[SYS] 2025/04/05 - 19:42:28 | 任务进度轮询开始 
[SYS] 2025/04/05 - 19:42:28 | batch update started 
[SYS] 2025/04/05 - 19:42:28 | batch update finished 
[SYS] 2025/04/05 - 19:42:28 | 任务进度轮询完成 
[SYS] 2025/04/05 - 19:42:34 | batch update started 
[SYS] 2025/04/05 - 19:42:34 | batch update finished 
[SYS] 2025/04/05 - 19:42:39 | batch update started 
[SYS] 2025/04/05 - 19:42:39 | batch update finished 
[SYS] 2025/04/05 - 19:42:44 | batch update started 
[SYS] 2025/04/05 - 19:42:44 | batch update finished 
[SYS] 2025/04/05 - 19:42:44 | 任务进度轮询开始 
[SYS] 2025/04/05 - 19:42:44 | 任务进度轮询完成 
[SYS] 2025/04/05 - 19:42:49 | batch update started 
[SYS] 2025/04/05 - 19:42:49 | batch update finished 
[SYS] 2025/04/05 - 19:42:54 | batch update started 
[SYS] 2025/04/05 - 19:42:54 | batch update finished 
[SYS] 2025/04/05 - 19:42:59 | syncing channels from database 
[SYS] 2025/04/05 - 19:42:59 | channels synced from database 
[SYS] 2025/04/05 - 19:42:59 | batch update started 
[SYS] 2025/04/05 - 19:42:59 | batch update finished 
[SYS] 2025/04/05 - 19:42:59 | 任务进度轮询开始 
[SYS] 2025/04/05 - 19:42:59 | 任务进度轮询完成 
[SYS] 2025/04/05 - 19:42:59 | syncing options from database 
[SYS] 2025/04/05 - 19:43:05 | batch update started 
[SYS] 2025/04/05 - 19:43:05 | batch update finished 
[SYS] 2025/04/05 - 19:43:10 | batch update started 
[SYS] 2025/04/05 - 19:43:10 | batch update finished 
[SYS] 2025/04/05 - 19:43:15 | 任务进度轮询开始 
[SYS] 2025/04/05 - 19:43:15 | 任务进度轮询完成 
[SYS] 2025/04/05 - 19:43:15 | batch update started 
[SYS] 2025/04/05 - 19:43:15 | batch update finished 
[SYS] 2025/04/05 - 19:43:20 | batch update started 
[SYS] 2025/04/05 - 19:43:20 | batch update finished 
[SYS] 2025/04/05 - 19:43:25 | batch update started 
[SYS] 2025/04/05 - 19:43:25 | batch update finished 
[SYS] 2025/04/05 - 19:43:30 | 任务进度轮询开始 
[SYS] 2025/04/05 - 19:43:30 | 任务进度轮询完成 
[SYS] 2025/04/05 - 19:43:30 | batch update started 
[SYS] 2025/04/05 - 19:43:30 | batch update finished 
[SYS] 2025/04/05 - 19:43:35 | batch update started 
[SYS] 2025/04/05 - 19:43:35 | batch update finished 
[SYS] 2025/04/05 - 19:43:41 | batch update started 
[SYS] 2025/04/05 - 19:43:41 | batch update finished 
[SYS] 2025/04/05 - 19:43:46 | 任务进度轮询开始 
[SYS] 2025/04/05 - 19:43:46 | 任务进度轮询完成 
[SYS] 2025/04/05 - 19:43:46 | batch update started 
[SYS] 2025/04/05 - 19:43:46 | batch update finished 
[SYS] 2025/04/05 - 19:43:51 | batch update started 
[SYS] 2025/04/05 - 19:43:51 | batch update finished 
[SYS] 2025/04/05 - 19:43:56 | batch update started 
[SYS] 2025/04/05 - 19:43:56 | batch update finished 
[SYS] 2025/04/05 - 19:44:01 | syncing channels from database 
[SYS] 2025/04/05 - 19:44:01 | channels synced from database 
[SYS] 2025/04/05 - 19:44:01 | 任务进度轮询开始 
[SYS] 2025/04/05 - 19:44:01 | 任务进度轮询完成 
[SYS] 2025/04/05 - 19:44:01 | batch update started 
[SYS] 2025/04/05 - 19:44:01 | batch update finished 
[SYS] 2025/04/05 - 19:44:01 | syncing options from database 
[SYS] 2025/04/05 - 19:44:06 | batch update started 
[SYS] 2025/04/05 - 19:44:06 | batch update finished 
[SYS] 2025/04/05 - 19:44:13 | batch update started 
[SYS] 2025/04/05 - 19:44:13 | batch update finished 
[SYS] 2025/04/05 - 19:44:18 | 任务进度轮询开始 
[SYS] 2025/04/05 - 19:44:18 | 任务进度轮询完成 
[SYS] 2025/04/05 - 19:44:18 | batch update started 
[SYS] 2025/04/05 - 19:44:18 | batch update finished 
