[SYS] 2025/03/31 - 00:04:07 | New API v0.0.0 started 
[SYS] 2025/03/31 - 00:04:07 | using MySQL as database 
[SYS] 2025/03/31 - 00:04:07 | database migration started 
[SYS] 2025/03/31 - 00:04:07 | database migrated 
[SYS] 2025/03/31 - 00:04:07 | using MySQL as database 
[SYS] 2025/03/31 - 00:04:07 | database migration started 
[SYS] 2025/03/31 - 00:04:07 | Redis is enabled 
[SYS] 2025/03/31 - 00:04:07 | memory cache enabled 
[SYS] 2025/03/31 - 00:04:07 | sync frequency: 60 seconds 
[SYS] 2025/03/31 - 00:04:07 | channels synced from database 
[SYS] 2025/03/31 - 00:04:07 | batch update enabled with interval 5s 
[SYS] 2025/03/31 - 00:04:07 | 正在更新数据看板数据... 
[SYS] 2025/03/31 - 00:04:07 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/03/31 - 00:04:07 | pprof enabled 
[SYS] 2025/03/31 - 00:04:07 | initializing token encoders 
[SYS] 2025/03/31 - 00:04:08 | token encoders initialized 
[SYS] 2025/03/31 - 00:04:08 | FRONTEND_BASE_URL is ignored on master node 
[GIN] 2025/03/31 - 00:04:10 | 20250331000410117510527MVFZKyEJ | 200 |  280.997817ms |             ::1 |     GET /login
[GIN] 2025/03/31 - 00:04:10 | 20250331000410627898977MEmAPlII | 200 |  236.159625ms |             ::1 |     GET /assets/index-B6XwMgYB.js
[SYS] 2025/03/31 - 00:04:12 | batch update started 
[SYS] 2025/03/31 - 00:04:12 | batch update finished 
[GIN] 2025/03/31 - 00:04:14 | 20250331000414340424894HpqQaqVY | 200 |    1.227309ms |             ::1 |     GET /api/status
[SYS] 2025/03/31 - 00:04:17 | batch update started 
[SYS] 2025/03/31 - 00:04:17 | batch update finished 
[SYS] 2025/03/31 - 00:04:22 | batch update started 
[SYS] 2025/03/31 - 00:04:22 | batch update finished 
[SYS] 2025/03/31 - 00:04:22 | 任务进度轮询开始 
[SYS] 2025/03/31 - 00:04:22 | 任务进度轮询完成 
[SYS] 2025/03/31 - 00:04:27 | batch update started 
[SYS] 2025/03/31 - 00:04:27 | batch update finished 
[SYS] 2025/03/31 - 00:04:32 | batch update started 
[SYS] 2025/03/31 - 00:04:32 | batch update finished 
[SYS] 2025/03/31 - 00:04:35 | batch update started 
[SYS] 2025/03/31 - 00:04:35 | batch update finished 
[SYS] 2025/03/31 - 00:04:35 | 任务进度轮询开始 
[SYS] 2025/03/31 - 00:04:35 | 任务进度轮询完成 
[GIN] 2025/03/31 - 00:04:40 | 20250331000440302048006MzmCdDIu | 307 |        62.4µs |             ::1 |     GET /auth/google/login
[SYS] 2025/03/31 - 00:04:40 | batch update started 
[SYS] 2025/03/31 - 00:04:40 | batch update finished 
[SYS] 2025/03/31 - 00:04:45 | batch update started 
[SYS] 2025/03/31 - 00:04:45 | batch update finished 
[SYS] 2025/03/31 - 00:04:50 | batch update started 
[SYS] 2025/03/31 - 00:04:50 | batch update finished 
[SYS] 2025/03/31 - 00:04:50 | 任务进度轮询开始 
[SYS] 2025/03/31 - 00:04:50 | 任务进度轮询完成 
[SYS] 2025/03/31 - 00:04:55 | batch update started 
[SYS] 2025/03/31 - 00:04:55 | batch update finished 
[SYS] 2025/03/31 - 00:05:00 | batch update started 
[SYS] 2025/03/31 - 00:05:00 | batch update finished 
[SYS] 2025/03/31 - 00:05:03 | syncing channels from database 
[SYS] 2025/03/31 - 00:05:03 | syncing options from database 
[SYS] 2025/03/31 - 00:05:03 | channels synced from database 
[SYS] 2025/03/31 - 00:05:03 | batch update started 
[SYS] 2025/03/31 - 00:05:03 | batch update finished 
[SYS] 2025/03/31 - 00:05:03 | 任务进度轮询开始 
[SYS] 2025/03/31 - 00:05:03 | 任务进度轮询完成 
[SYS] 2025/03/31 - 00:05:08 | batch update started 
[SYS] 2025/03/31 - 00:05:08 | batch update finished 
[SYS] 2025/03/31 - 00:05:13 | batch update started 
[SYS] 2025/03/31 - 00:05:13 | batch update finished 
[SYS] 2025/03/31 - 00:05:18 | batch update started 
[SYS] 2025/03/31 - 00:05:18 | batch update finished 
[SYS] 2025/03/31 - 00:05:18 | 任务进度轮询开始 
[SYS] 2025/03/31 - 00:05:18 | 任务进度轮询完成 
[SYS] 2025/03/31 - 00:05:23 | batch update started 
[SYS] 2025/03/31 - 00:05:23 | batch update finished 
[SYS] 2025/03/31 - 00:05:28 | batch update started 
[SYS] 2025/03/31 - 00:05:28 | batch update finished 
[SYS] 2025/03/31 - 00:05:31 | batch update started 
[SYS] 2025/03/31 - 00:05:31 | batch update finished 
[SYS] 2025/03/31 - 00:05:31 | 任务进度轮询开始 
[SYS] 2025/03/31 - 00:05:31 | 任务进度轮询完成 
[SYS] 2025/03/31 - 00:05:36 | batch update started 
[SYS] 2025/03/31 - 00:05:36 | batch update finished 
[SYS] 2025/03/31 - 00:05:41 | batch update started 
[SYS] 2025/03/31 - 00:05:41 | batch update finished 
[SYS] 2025/03/31 - 00:05:46 | batch update started 
[SYS] 2025/03/31 - 00:05:46 | batch update finished 
[SYS] 2025/03/31 - 00:05:46 | 任务进度轮询开始 
[SYS] 2025/03/31 - 00:05:46 | 任务进度轮询完成 
[SYS] 2025/03/31 - 00:05:51 | batch update started 
[SYS] 2025/03/31 - 00:05:51 | batch update finished 
[SYS] 2025/03/31 - 00:05:56 | batch update started 
[SYS] 2025/03/31 - 00:05:56 | batch update finished 
