[SYS] 2025/04/05 - 21:05:05 | New API v0.0.0 started 
[SYS] 2025/04/05 - 21:05:05 | using MySQL as database 
[SYS] 2025/04/05 - 21:05:05 | database migration started 
[SYS] 2025/04/05 - 21:05:06 | database migrated 
[SYS] 2025/04/05 - 21:05:06 | using MySQL as database 
[SYS] 2025/04/05 - 21:05:06 | database migration started 
[SYS] 2025/04/05 - 21:05:06 | Redis is enabled 
[SYS] 2025/04/05 - 21:05:06 | memory cache enabled 
[SYS] 2025/04/05 - 21:05:06 | sync frequency: 60 seconds 
[SYS] 2025/04/05 - 21:05:06 | channels synced from database 
[SYS] 2025/04/05 - 21:05:06 | batch update enabled with interval 5s 
[SYS] 2025/04/05 - 21:05:06 | pprof enabled 
[SYS] 2025/04/05 - 21:05:06 | initializing token encoders 
[SYS] 2025/04/05 - 21:05:06 | 正在更新数据看板数据... 
[SYS] 2025/04/05 - 21:05:06 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/05 - 21:05:07 | token encoders initialized 
[SYS] 2025/04/05 - 21:05:07 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/04/05 - 21:05:11 | batch update started 
[SYS] 2025/04/05 - 21:05:11 | batch update finished 
[GIN] 2025/04/05 - 21:05:14 | 20250405210514424165524siZopsCv | 200 |    1.160388ms |             ::1 |     GET /topup
[GIN] 2025/04/05 - 21:05:14 | 20250405210514591537915YPFKcx86 | 200 |   83.779403ms |             ::1 |     GET /assets/index-Dl1QuHvo.js
[SYS] 2025/04/05 - 21:05:16 | batch update started 
[SYS] 2025/04/05 - 21:05:16 | batch update finished 
[GIN] 2025/04/05 - 21:05:16 | 20250405210516777917303tZ5ZOMNe | 200 |    1.100083ms |             ::1 |     GET /api/status
[GIN] 2025/04/05 - 21:05:16 | 20250405210516775776444WTnxWucI | 200 |    5.647406ms |             ::1 |     GET /api/user/self
[SYS] 2025/04/05 - 21:05:21 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:05:21 | batch update started 
[SYS] 2025/04/05 - 21:05:21 | batch update finished 
[SYS] 2025/04/05 - 21:05:21 | 任务进度轮询完成 
[GIN] 2025/04/05 - 21:05:28 | 2025040521052892698916zgyeRxhu | 200 |    5.090023ms |             ::1 |    POST /api/user/amount
[SYS] 2025/04/05 - 21:05:28 | batch update started 
[SYS] 2025/04/05 - 21:05:28 | batch update finished 
[GIN] 2025/04/05 - 21:05:28 | 20250405210528679717557IUbMzr1g | 200 |    4.172079ms |             ::1 |    POST /api/user/amount
[GIN] 2025/04/05 - 21:05:31 | 20250405210531150066326iAseWge3 | 200 |    2.757445ms |             ::1 |    POST /api/user/pay
[SYS] 2025/04/05 - 21:05:33 | batch update started 
[SYS] 2025/04/05 - 21:05:33 | batch update finished 
[SYS] 2025/04/05 - 21:05:38 | batch update started 
[SYS] 2025/04/05 - 21:05:38 | batch update finished 
[SYS] 2025/04/05 - 21:05:38 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:05:38 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:05:43 | batch update started 
[SYS] 2025/04/05 - 21:05:43 | batch update finished 
[SYS] 2025/04/05 - 21:05:48 | batch update started 
[SYS] 2025/04/05 - 21:05:48 | batch update finished 
[SYS] 2025/04/05 - 21:05:53 | batch update started 
[SYS] 2025/04/05 - 21:05:53 | batch update finished 
[SYS] 2025/04/05 - 21:05:53 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:05:53 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:05:58 | batch update started 
[SYS] 2025/04/05 - 21:05:58 | batch update finished 
[SYS] 2025/04/05 - 21:06:04 | batch update started 
[SYS] 2025/04/05 - 21:06:04 | batch update finished 
[SYS] 2025/04/05 - 21:06:09 | syncing channels from database 
[SYS] 2025/04/05 - 21:06:09 | syncing options from database 
[SYS] 2025/04/05 - 21:06:09 | channels synced from database 
[SYS] 2025/04/05 - 21:06:09 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:06:09 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:06:09 | batch update started 
[SYS] 2025/04/05 - 21:06:09 | batch update finished 
[SYS] 2025/04/05 - 21:06:14 | batch update started 
[SYS] 2025/04/05 - 21:06:14 | batch update finished 
[SYS] 2025/04/05 - 21:06:19 | batch update started 
[SYS] 2025/04/05 - 21:06:19 | batch update finished 
[SYS] 2025/04/05 - 21:06:24 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:06:24 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:06:24 | batch update started 
[SYS] 2025/04/05 - 21:06:24 | batch update finished 
[SYS] 2025/04/05 - 21:06:29 | batch update started 
[SYS] 2025/04/05 - 21:06:29 | batch update finished 
[SYS] 2025/04/05 - 21:06:36 | batch update started 
[SYS] 2025/04/05 - 21:06:36 | batch update finished 
[SYS] 2025/04/05 - 21:06:41 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:06:41 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:06:41 | batch update started 
[SYS] 2025/04/05 - 21:06:41 | batch update finished 
[SYS] 2025/04/05 - 21:06:46 | batch update started 
[SYS] 2025/04/05 - 21:06:46 | batch update finished 
[SYS] 2025/04/05 - 21:06:51 | batch update started 
[SYS] 2025/04/05 - 21:06:51 | batch update finished 
[SYS] 2025/04/05 - 21:06:56 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:06:56 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:06:56 | batch update started 
[SYS] 2025/04/05 - 21:06:56 | batch update finished 
[SYS] 2025/04/05 - 21:07:01 | batch update started 
[SYS] 2025/04/05 - 21:07:01 | batch update finished 
[SYS] 2025/04/05 - 21:07:06 | batch update started 
[SYS] 2025/04/05 - 21:07:06 | batch update finished 
[SYS] 2025/04/05 - 21:07:13 | syncing options from database 
[SYS] 2025/04/05 - 21:07:13 | syncing channels from database 
[SYS] 2025/04/05 - 21:07:13 | channels synced from database 
[SYS] 2025/04/05 - 21:07:13 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:07:13 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:07:13 | batch update started 
[SYS] 2025/04/05 - 21:07:13 | batch update finished 
[SYS] 2025/04/05 - 21:07:18 | batch update started 
[SYS] 2025/04/05 - 21:07:18 | batch update finished 
[SYS] 2025/04/05 - 21:07:23 | batch update started 
[SYS] 2025/04/05 - 21:07:23 | batch update finished 
[SYS] 2025/04/05 - 21:07:28 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:07:28 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:07:28 | batch update started 
[SYS] 2025/04/05 - 21:07:28 | batch update finished 
[SYS] 2025/04/05 - 21:07:33 | batch update started 
[SYS] 2025/04/05 - 21:07:33 | batch update finished 
[SYS] 2025/04/05 - 21:07:38 | batch update started 
[SYS] 2025/04/05 - 21:07:38 | batch update finished 
[SYS] 2025/04/05 - 21:07:45 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:07:45 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:07:45 | batch update started 
[SYS] 2025/04/05 - 21:07:45 | batch update finished 
[SYS] 2025/04/05 - 21:07:50 | batch update started 
[SYS] 2025/04/05 - 21:07:50 | batch update finished 
[SYS] 2025/04/05 - 21:07:55 | batch update started 
[SYS] 2025/04/05 - 21:07:55 | batch update finished 
[SYS] 2025/04/05 - 21:08:00 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:08:00 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:08:00 | batch update started 
[SYS] 2025/04/05 - 21:08:00 | batch update finished 
[SYS] 2025/04/05 - 21:08:05 | batch update started 
[SYS] 2025/04/05 - 21:08:05 | batch update finished 
[SYS] 2025/04/05 - 21:08:10 | batch update started 
[SYS] 2025/04/05 - 21:08:10 | batch update finished 
[SYS] 2025/04/05 - 21:08:15 | syncing options from database 
[SYS] 2025/04/05 - 21:08:15 | syncing channels from database 
[SYS] 2025/04/05 - 21:08:15 | channels synced from database 
[SYS] 2025/04/05 - 21:08:15 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:08:15 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:08:15 | batch update started 
[SYS] 2025/04/05 - 21:08:15 | batch update finished 
[SYS] 2025/04/05 - 21:08:22 | batch update started 
[SYS] 2025/04/05 - 21:08:22 | batch update finished 
[SYS] 2025/04/05 - 21:08:27 | batch update started 
[SYS] 2025/04/05 - 21:08:27 | batch update finished 
[SYS] 2025/04/05 - 21:08:32 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:08:32 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:08:32 | batch update started 
[SYS] 2025/04/05 - 21:08:32 | batch update finished 
[SYS] 2025/04/05 - 21:08:37 | batch update started 
[SYS] 2025/04/05 - 21:08:37 | batch update finished 
[SYS] 2025/04/05 - 21:08:42 | batch update started 
[SYS] 2025/04/05 - 21:08:42 | batch update finished 
[SYS] 2025/04/05 - 21:08:47 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:08:47 | batch update started 
[SYS] 2025/04/05 - 21:08:47 | batch update finished 
[SYS] 2025/04/05 - 21:08:47 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:08:54 | batch update started 
[SYS] 2025/04/05 - 21:08:54 | batch update finished 
[SYS] 2025/04/05 - 21:08:59 | batch update started 
[SYS] 2025/04/05 - 21:08:59 | batch update finished 
[SYS] 2025/04/05 - 21:09:04 | batch update started 
[SYS] 2025/04/05 - 21:09:04 | batch update finished 
[SYS] 2025/04/05 - 21:09:04 | 任务进度轮询开始 
[SYS] 2025/04/05 - 21:09:04 | 任务进度轮询完成 
[SYS] 2025/04/05 - 21:09:09 | batch update started 
[SYS] 2025/04/05 - 21:09:09 | batch update finished 
[SYS] 2025/04/05 - 21:09:14 | batch update started 
[SYS] 2025/04/05 - 21:09:14 | batch update finished 
