[SYS] 2025/04/11 - 00:25:57 | New API v0.0.0 started 
[SYS] 2025/04/11 - 00:25:57 | using MySQL as database 
[SYS] 2025/04/11 - 00:25:57 | database migration started 
[SYS] 2025/04/11 - 00:25:57 | database migrated 
[SYS] 2025/04/11 - 00:25:57 | using MySQL as database 
[SYS] 2025/04/11 - 00:25:57 | database migration started 
[SYS] 2025/04/11 - 00:25:57 | Redis is enabled 
[SYS] 2025/04/11 - 00:25:57 | memory cache enabled 
[SYS] 2025/04/11 - 00:25:57 | sync frequency: 60 seconds 
[SYS] 2025/04/11 - 00:25:57 | channels synced from database 
[SYS] 2025/04/11 - 00:25:57 | batch update enabled with interval 5s 
[SYS] 2025/04/11 - 00:25:57 | pprof enabled 
[SYS] 2025/04/11 - 00:25:57 | initializing token encoders 
[SYS] 2025/04/11 - 00:25:57 | 正在更新数据看板数据... 
[SYS] 2025/04/11 - 00:25:57 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/11 - 00:26:02 | batch update started 
[SYS] 2025/04/11 - 00:26:02 | batch update finished 
[SYS] 2025/04/11 - 00:26:07 | token encoders initialized 
[SYS] 2025/04/11 - 00:26:07 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/04/11 - 00:26:07 | batch update started 
[SYS] 2025/04/11 - 00:26:07 | batch update finished 
[SYS] 2025/04/11 - 00:26:12 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:26:12 | batch update started 
[SYS] 2025/04/11 - 00:26:12 | batch update finished 
[SYS] 2025/04/11 - 00:26:12 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:26:17 | batch update started 
[SYS] 2025/04/11 - 00:26:17 | batch update finished 
[SYS] 2025/04/11 - 00:26:22 | batch update started 
[SYS] 2025/04/11 - 00:26:22 | batch update finished 
[SYS] 2025/04/11 - 00:26:27 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:26:27 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:26:27 | batch update started 
[SYS] 2025/04/11 - 00:26:27 | batch update finished 
[SYS] 2025/04/11 - 00:26:32 | batch update started 
[SYS] 2025/04/11 - 00:26:32 | batch update finished 
[SYS] 2025/04/11 - 00:26:37 | batch update started 
[SYS] 2025/04/11 - 00:26:37 | batch update finished 
[SYS] 2025/04/11 - 00:26:42 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:26:42 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:26:42 | batch update started 
[SYS] 2025/04/11 - 00:26:42 | batch update finished 
[SYS] 2025/04/11 - 00:26:47 | batch update started 
[SYS] 2025/04/11 - 00:26:47 | batch update finished 
[SYS] 2025/04/11 - 00:26:52 | batch update started 
[SYS] 2025/04/11 - 00:26:52 | batch update finished 
[SYS] 2025/04/11 - 00:26:56 | syncing channels from database 
[SYS] 2025/04/11 - 00:26:56 | syncing options from database 
[SYS] 2025/04/11 - 00:26:56 | channels synced from database 
[SYS] 2025/04/11 - 00:26:56 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:26:56 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:26:56 | batch update started 
[SYS] 2025/04/11 - 00:26:56 | batch update finished 
[SYS] 2025/04/11 - 00:27:01 | batch update started 
[SYS] 2025/04/11 - 00:27:01 | batch update finished 
[SYS] 2025/04/11 - 00:27:06 | batch update started 
[SYS] 2025/04/11 - 00:27:06 | batch update finished 
[SYS] 2025/04/11 - 00:27:11 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:27:11 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:27:11 | batch update started 
[SYS] 2025/04/11 - 00:27:11 | batch update finished 
[SYS] 2025/04/11 - 00:27:16 | batch update started 
[SYS] 2025/04/11 - 00:27:16 | batch update finished 
[SYS] 2025/04/11 - 00:27:21 | batch update started 
[SYS] 2025/04/11 - 00:27:21 | batch update finished 
[SYS] 2025/04/11 - 00:27:25 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:27:25 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:27:25 | batch update started 
[SYS] 2025/04/11 - 00:27:25 | batch update finished 
[SYS] 2025/04/11 - 00:27:30 | batch update started 
[SYS] 2025/04/11 - 00:27:30 | batch update finished 
[SYS] 2025/04/11 - 00:27:35 | batch update started 
[SYS] 2025/04/11 - 00:27:35 | batch update finished 
[SYS] 2025/04/11 - 00:27:40 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:27:40 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:27:40 | batch update started 
[SYS] 2025/04/11 - 00:27:40 | batch update finished 
[SYS] 2025/04/11 - 00:27:45 | batch update started 
[SYS] 2025/04/11 - 00:27:45 | batch update finished 
[SYS] 2025/04/11 - 00:27:50 | batch update started 
[SYS] 2025/04/11 - 00:27:50 | batch update finished 
[SYS] 2025/04/11 - 00:27:55 | syncing options from database 
[SYS] 2025/04/11 - 00:27:55 | syncing channels from database 
[SYS] 2025/04/11 - 00:27:55 | channels synced from database 
[SYS] 2025/04/11 - 00:27:55 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:27:55 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:27:55 | batch update started 
[SYS] 2025/04/11 - 00:27:55 | batch update finished 
[SYS] 2025/04/11 - 00:28:00 | batch update started 
[SYS] 2025/04/11 - 00:28:00 | batch update finished 
[SYS] 2025/04/11 - 00:28:05 | batch update started 
[SYS] 2025/04/11 - 00:28:05 | batch update finished 
[SYS] 2025/04/11 - 00:28:10 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:28:10 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:28:10 | batch update started 
[SYS] 2025/04/11 - 00:28:10 | batch update finished 
[SYS] 2025/04/11 - 00:28:15 | batch update started 
[SYS] 2025/04/11 - 00:28:15 | batch update finished 
[SYS] 2025/04/11 - 00:28:20 | batch update started 
[SYS] 2025/04/11 - 00:28:20 | batch update finished 
[SYS] 2025/04/11 - 00:28:25 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:28:25 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:28:25 | batch update started 
[SYS] 2025/04/11 - 00:28:25 | batch update finished 
[SYS] 2025/04/11 - 00:28:29 | batch update started 
[SYS] 2025/04/11 - 00:28:29 | batch update finished 
[SYS] 2025/04/11 - 00:28:34 | batch update started 
[SYS] 2025/04/11 - 00:28:34 | batch update finished 
[SYS] 2025/04/11 - 00:28:39 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:28:39 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:28:39 | batch update started 
[SYS] 2025/04/11 - 00:28:39 | batch update finished 
[SYS] 2025/04/11 - 00:28:44 | batch update started 
[SYS] 2025/04/11 - 00:28:44 | batch update finished 
[SYS] 2025/04/11 - 00:28:49 | batch update started 
[SYS] 2025/04/11 - 00:28:49 | batch update finished 
[SYS] 2025/04/11 - 00:28:54 | syncing options from database 
[SYS] 2025/04/11 - 00:28:54 | syncing channels from database 
[SYS] 2025/04/11 - 00:28:54 | channels synced from database 
[SYS] 2025/04/11 - 00:28:54 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:28:54 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:28:54 | batch update started 
[SYS] 2025/04/11 - 00:28:54 | batch update finished 
[SYS] 2025/04/11 - 00:28:59 | batch update started 
[SYS] 2025/04/11 - 00:28:59 | batch update finished 
[SYS] 2025/04/11 - 00:29:04 | batch update started 
[SYS] 2025/04/11 - 00:29:04 | batch update finished 
[SYS] 2025/04/11 - 00:29:09 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:29:09 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:29:09 | batch update started 
[SYS] 2025/04/11 - 00:29:09 | batch update finished 
[SYS] 2025/04/11 - 00:29:14 | batch update started 
[SYS] 2025/04/11 - 00:29:14 | batch update finished 
[SYS] 2025/04/11 - 00:29:19 | batch update started 
[SYS] 2025/04/11 - 00:29:19 | batch update finished 
[SYS] 2025/04/11 - 00:29:24 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:29:24 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:29:24 | batch update started 
[SYS] 2025/04/11 - 00:29:24 | batch update finished 
[SYS] 2025/04/11 - 00:29:29 | batch update started 
[SYS] 2025/04/11 - 00:29:29 | batch update finished 
[SYS] 2025/04/11 - 00:29:33 | batch update started 
[SYS] 2025/04/11 - 00:29:33 | batch update finished 
[SYS] 2025/04/11 - 00:29:38 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:29:38 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:29:38 | batch update started 
[SYS] 2025/04/11 - 00:29:38 | batch update finished 
[SYS] 2025/04/11 - 00:29:43 | batch update started 
[SYS] 2025/04/11 - 00:29:43 | batch update finished 
[SYS] 2025/04/11 - 00:29:48 | batch update started 
[SYS] 2025/04/11 - 00:29:48 | batch update finished 
[SYS] 2025/04/11 - 00:29:53 | syncing options from database 
[SYS] 2025/04/11 - 00:29:53 | syncing channels from database 
[SYS] 2025/04/11 - 00:29:53 | channels synced from database 
[SYS] 2025/04/11 - 00:29:53 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:29:53 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:29:53 | batch update started 
[SYS] 2025/04/11 - 00:29:53 | batch update finished 
[SYS] 2025/04/11 - 00:29:58 | batch update started 
[SYS] 2025/04/11 - 00:29:58 | batch update finished 
[SYS] 2025/04/11 - 00:30:03 | batch update started 
[SYS] 2025/04/11 - 00:30:03 | batch update finished 
[SYS] 2025/04/11 - 00:30:08 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:30:08 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:30:08 | batch update started 
[SYS] 2025/04/11 - 00:30:08 | batch update finished 
[SYS] 2025/04/11 - 00:30:13 | batch update started 
[SYS] 2025/04/11 - 00:30:13 | batch update finished 
[SYS] 2025/04/11 - 00:30:18 | batch update started 
[SYS] 2025/04/11 - 00:30:18 | batch update finished 
[SYS] 2025/04/11 - 00:30:23 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:30:23 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:30:23 | batch update started 
[SYS] 2025/04/11 - 00:30:23 | batch update finished 
[SYS] 2025/04/11 - 00:30:28 | batch update started 
[SYS] 2025/04/11 - 00:30:28 | batch update finished 
[SYS] 2025/04/11 - 00:30:33 | batch update started 
[SYS] 2025/04/11 - 00:30:33 | batch update finished 
[SYS] 2025/04/11 - 00:30:37 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:30:37 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:30:37 | batch update started 
[SYS] 2025/04/11 - 00:30:37 | batch update finished 
[SYS] 2025/04/11 - 00:30:42 | batch update started 
[SYS] 2025/04/11 - 00:30:42 | batch update finished 
[SYS] 2025/04/11 - 00:30:47 | batch update started 
[SYS] 2025/04/11 - 00:30:47 | batch update finished 
[SYS] 2025/04/11 - 00:30:52 | 正在更新数据看板数据... 
[SYS] 2025/04/11 - 00:30:52 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/11 - 00:30:52 | syncing options from database 
[SYS] 2025/04/11 - 00:30:52 | syncing channels from database 
[SYS] 2025/04/11 - 00:30:52 | channels synced from database 
[SYS] 2025/04/11 - 00:30:52 | 任务进度轮询开始 
[SYS] 2025/04/11 - 00:30:52 | 任务进度轮询完成 
[SYS] 2025/04/11 - 00:30:52 | batch update started 
[SYS] 2025/04/11 - 00:30:52 | batch update finished 
[SYS] 2025/04/11 - 00:30:57 | batch update started 
[SYS] 2025/04/11 - 00:30:57 | batch update finished 
[SYS] 2025/04/11 - 00:31:02 | batch update started 
[SYS] 2025/04/11 - 00:31:02 | batch update finished 
[SYS] 2025/04/11 - 00:31:06 | 任务进度轮询开始 
