[SYS] 2025/03/28 - 16:41:19 | New API v0.0.0 started 
[SYS] 2025/03/28 - 16:41:19 | using MySQL as database 
[SYS] 2025/03/28 - 16:41:19 | database migration started 
[SYS] 2025/03/28 - 16:41:19 | database migrated 
[SYS] 2025/03/28 - 16:41:19 | using MySQL as database 
[SYS] 2025/03/28 - 16:41:19 | database migration started 
[SYS] 2025/03/28 - 16:41:19 | Redis is enabled 
[SYS] 2025/03/28 - 16:41:19 | memory cache enabled 
[SYS] 2025/03/28 - 16:41:19 | sync frequency: 60 seconds 
[SYS] 2025/03/28 - 16:41:19 | channels synced from database 
[SYS] 2025/03/28 - 16:41:19 | batch update enabled with interval 5s 
[SYS] 2025/03/28 - 16:41:19 | pprof enabled 
[SYS] 2025/03/28 - 16:41:19 | initializing token encoders 
[SYS] 2025/03/28 - 16:41:19 | 正在更新数据看板数据... 
[SYS] 2025/03/28 - 16:41:19 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/03/28 - 16:41:20 | token encoders initialized 
[SYS] 2025/03/28 - 16:41:20 | FRONTEND_BASE_URL is ignored on master node 
[FATAL] 2025/03/28 - 16:41:20 | [failed to start HTTP server: listen tcp :3000: bind: address already in use] 
