[SYS] 2025/04/15 - 15:12:20 | New API v0.0.0 started 
[SYS] 2025/04/15 - 15:12:20 | using MySQL as database 
[SYS] 2025/04/15 - 15:12:21 | database migration started 
[SYS] 2025/04/15 - 15:12:21 | database migrated 
[SYS] 2025/04/15 - 15:12:21 | using MySQL as database 
[SYS] 2025/04/15 - 15:12:21 | database migration started 
[SYS] 2025/04/15 - 15:12:21 | Redis is enabled 
[SYS] 2025/04/15 - 15:12:21 | memory cache enabled 
[SYS] 2025/04/15 - 15:12:21 | sync frequency: 60 seconds 
[SYS] 2025/04/15 - 15:12:21 | channels synced from database 
[SYS] 2025/04/15 - 15:12:21 | batch update enabled with interval 5s 
[SYS] 2025/04/15 - 15:12:21 | pprof enabled 
[SYS] 2025/04/15 - 15:12:21 | initializing token encoders 
[SYS] 2025/04/15 - 15:12:21 | 正在更新数据看板数据... 
[SYS] 2025/04/15 - 15:12:21 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/15 - 15:12:22 | token encoders initialized 
[SYS] 2025/04/15 - 15:12:22 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/04/15 - 15:12:26 | batch update started 
[SYS] 2025/04/15 - 15:12:26 | batch update finished 
[SYS] 2025/04/15 - 15:12:29 | batch update started 
[SYS] 2025/04/15 - 15:12:29 | batch update finished 
[SYS] 2025/04/15 - 15:12:34 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:12:34 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:12:34 | batch update started 
[SYS] 2025/04/15 - 15:12:34 | batch update finished 
[SYS] 2025/04/15 - 15:12:39 | batch update started 
[SYS] 2025/04/15 - 15:12:39 | batch update finished 
[GIN] 2025/04/15 - 15:12:43 | 20250415151243673247348tsY663zV | 200 |    1.662557ms |             ::1 |     GET /setting?tab=system
[SYS] 2025/04/15 - 15:12:44 | batch update started 
[SYS] 2025/04/15 - 15:12:44 | batch update finished 
[GIN] 2025/04/15 - 15:12:46 | 2025041515124694816669310j0vMmD | 200 |    1.825021ms |             ::1 |     GET /api/status
[GIN] 2025/04/15 - 15:12:47 | 20250415151247217836214YYBFH2TT | 200 |    8.023666ms |             ::1 |     GET /api/option/
[SYS] 2025/04/15 - 15:12:49 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:12:49 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:12:49 | batch update started 
[SYS] 2025/04/15 - 15:12:49 | batch update finished 
[SYS] 2025/04/15 - 15:12:54 | batch update started 
[SYS] 2025/04/15 - 15:12:54 | batch update finished 
[SYS] 2025/04/15 - 15:12:58 | batch update started 
[SYS] 2025/04/15 - 15:12:58 | batch update finished 
[SYS] 2025/04/15 - 15:13:03 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:13:03 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:13:03 | batch update started 
[SYS] 2025/04/15 - 15:13:03 | batch update finished 
[SYS] 2025/04/15 - 15:13:08 | batch update started 
[SYS] 2025/04/15 - 15:13:08 | batch update finished 
[SYS] 2025/04/15 - 15:13:13 | batch update started 
[SYS] 2025/04/15 - 15:13:13 | batch update finished 
[SYS] 2025/04/15 - 15:13:18 | syncing options from database 
[SYS] 2025/04/15 - 15:13:18 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:13:18 | syncing channels from database 
[SYS] 2025/04/15 - 15:13:18 | batch update started 
[SYS] 2025/04/15 - 15:13:18 | batch update finished 
[SYS] 2025/04/15 - 15:13:18 | channels synced from database 
[SYS] 2025/04/15 - 15:13:18 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:13:23 | batch update started 
[SYS] 2025/04/15 - 15:13:23 | batch update finished 
[SYS] 2025/04/15 - 15:13:28 | batch update started 
[SYS] 2025/04/15 - 15:13:28 | batch update finished 
[SYS] 2025/04/15 - 15:13:31 | 任务进度轮询开始 
[SYS] 2025/04/15 - 15:13:31 | 任务进度轮询完成 
[SYS] 2025/04/15 - 15:13:31 | batch update started 
[SYS] 2025/04/15 - 15:13:31 | batch update finished 
[SYS] 2025/04/15 - 15:13:36 | batch update started 
[SYS] 2025/04/15 - 15:13:36 | batch update finished 
