[SYS] 2025/04/04 - 18:10:39 | New API v0.0.0 started 
[SYS] 2025/04/04 - 18:10:39 | using MySQL as database 
[SYS] 2025/04/04 - 18:10:39 | database migration started 
[SYS] 2025/04/04 - 18:10:40 | database migrated 
[SYS] 2025/04/04 - 18:10:40 | using MySQL as database 
[SYS] 2025/04/04 - 18:10:40 | database migration started 
[SYS] 2025/04/04 - 18:10:40 | Redis is enabled 
[SYS] 2025/04/04 - 18:10:40 | memory cache enabled 
[SYS] 2025/04/04 - 18:10:40 | sync frequency: 60 seconds 
[SYS] 2025/04/04 - 18:10:40 | channels synced from database 
[SYS] 2025/04/04 - 18:10:40 | batch update enabled with interval 5s 
[SYS] 2025/04/04 - 18:10:40 | pprof enabled 
[SYS] 2025/04/04 - 18:10:40 | initializing token encoders 
[SYS] 2025/04/04 - 18:10:40 | 正在更新数据看板数据... 
[SYS] 2025/04/04 - 18:10:40 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/04 - 18:10:41 | token encoders initialized 
[SYS] 2025/04/04 - 18:10:41 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/04/04 - 18:10:45 | batch update started 
[SYS] 2025/04/04 - 18:10:45 | batch update finished 
[SYS] 2025/04/04 - 18:10:50 | batch update started 
[SYS] 2025/04/04 - 18:10:50 | batch update finished 
[SYS] 2025/04/04 - 18:10:55 | 任务进度轮询开始 
[SYS] 2025/04/04 - 18:10:55 | batch update started 
[SYS] 2025/04/04 - 18:10:55 | batch update finished 
[SYS] 2025/04/04 - 18:10:55 | 任务进度轮询完成 
[SYS] 2025/04/04 - 18:11:00 | batch update started 
[SYS] 2025/04/04 - 18:11:00 | batch update finished 
[SYS] 2025/04/04 - 18:11:05 | batch update started 
[SYS] 2025/04/04 - 18:11:05 | batch update finished 
[SYS] 2025/04/04 - 18:11:10 | 任务进度轮询开始 
[SYS] 2025/04/04 - 18:11:10 | 任务进度轮询完成 
[SYS] 2025/04/04 - 18:11:10 | batch update started 
[SYS] 2025/04/04 - 18:11:10 | batch update finished 
[SYS] 2025/04/04 - 18:11:15 | batch update started 
[SYS] 2025/04/04 - 18:11:15 | batch update finished 
[SYS] 2025/04/04 - 18:11:20 | batch update started 
[SYS] 2025/04/04 - 18:11:20 | batch update finished 
[SYS] 2025/04/04 - 18:11:25 | 任务进度轮询开始 
[SYS] 2025/04/04 - 18:11:25 | 任务进度轮询完成 
[SYS] 2025/04/04 - 18:11:25 | batch update started 
[SYS] 2025/04/04 - 18:11:25 | batch update finished 
[SYS] 2025/04/04 - 18:11:30 | batch update started 
[SYS] 2025/04/04 - 18:11:30 | batch update finished 
[SYS] 2025/04/04 - 18:11:35 | batch update started 
[SYS] 2025/04/04 - 18:11:35 | batch update finished 
[SYS] 2025/04/04 - 18:11:40 | syncing channels from database 
[SYS] 2025/04/04 - 18:11:40 | syncing options from database 
[SYS] 2025/04/04 - 18:11:40 | channels synced from database 
[SYS] 2025/04/04 - 18:11:40 | 任务进度轮询开始 
[SYS] 2025/04/04 - 18:11:40 | 任务进度轮询完成 
[SYS] 2025/04/04 - 18:11:40 | batch update started 
[SYS] 2025/04/04 - 18:11:40 | batch update finished 
[SYS] 2025/04/04 - 18:11:45 | batch update started 
[SYS] 2025/04/04 - 18:11:45 | batch update finished 
[SYS] 2025/04/04 - 18:11:50 | batch update started 
[SYS] 2025/04/04 - 18:11:50 | batch update finished 
[SYS] 2025/04/04 - 18:11:55 | 任务进度轮询开始 
[SYS] 2025/04/04 - 18:11:55 | 任务进度轮询完成 
[SYS] 2025/04/04 - 18:11:55 | batch update started 
[SYS] 2025/04/04 - 18:11:55 | batch update finished 
[SYS] 2025/04/04 - 18:12:00 | batch update started 
[SYS] 2025/04/04 - 18:12:00 | batch update finished 
[SYS] 2025/04/04 - 18:12:05 | batch update started 
[SYS] 2025/04/04 - 18:12:05 | batch update finished 
[SYS] 2025/04/04 - 18:12:10 | 任务进度轮询开始 
[SYS] 2025/04/04 - 18:12:10 | 任务进度轮询完成 
[SYS] 2025/04/04 - 18:12:10 | batch update started 
[SYS] 2025/04/04 - 18:12:10 | batch update finished 
[SYS] 2025/04/04 - 18:12:15 | batch update started 
[SYS] 2025/04/04 - 18:12:15 | batch update finished 
[SYS] 2025/04/04 - 18:12:20 | batch update started 
[SYS] 2025/04/04 - 18:12:20 | batch update finished 
[SYS] 2025/04/04 - 18:12:25 | 任务进度轮询开始 
[SYS] 2025/04/04 - 18:12:25 | 任务进度轮询完成 
[SYS] 2025/04/04 - 18:12:25 | batch update started 
[SYS] 2025/04/04 - 18:12:25 | batch update finished 
[SYS] 2025/04/04 - 18:12:30 | batch update started 
[SYS] 2025/04/04 - 18:12:30 | batch update finished 
[SYS] 2025/04/04 - 18:12:35 | batch update started 
[SYS] 2025/04/04 - 18:12:35 | batch update finished 
[SYS] 2025/04/04 - 18:12:40 | syncing options from database 
[SYS] 2025/04/04 - 18:12:40 | syncing channels from database 
[SYS] 2025/04/04 - 18:12:40 | channels synced from database 
[SYS] 2025/04/04 - 18:12:40 | 任务进度轮询开始 
[SYS] 2025/04/04 - 18:12:40 | 任务进度轮询完成 
[SYS] 2025/04/04 - 18:12:40 | batch update started 
[SYS] 2025/04/04 - 18:12:40 | batch update finished 
[SYS] 2025/04/04 - 18:12:45 | batch update started 
[SYS] 2025/04/04 - 18:12:45 | batch update finished 
[SYS] 2025/04/04 - 18:12:50 | batch update started 
[SYS] 2025/04/04 - 18:12:50 | batch update finished 
[SYS] 2025/04/04 - 18:12:55 | 任务进度轮询开始 
[SYS] 2025/04/04 - 18:12:55 | 任务进度轮询完成 
[SYS] 2025/04/04 - 18:12:55 | batch update started 
[SYS] 2025/04/04 - 18:12:55 | batch update finished 
[SYS] 2025/04/04 - 18:13:00 | batch update started 
[SYS] 2025/04/04 - 18:13:00 | batch update finished 
[SYS] 2025/04/04 - 18:13:05 | batch update started 
[SYS] 2025/04/04 - 18:13:05 | batch update finished 
[SYS] 2025/04/04 - 18:13:10 | 任务进度轮询开始 
[SYS] 2025/04/04 - 18:13:10 | 任务进度轮询完成 
[SYS] 2025/04/04 - 18:13:10 | batch update started 
[SYS] 2025/04/04 - 18:13:10 | batch update finished 
[SYS] 2025/04/04 - 18:13:15 | batch update started 
[SYS] 2025/04/04 - 18:13:15 | batch update finished 
[SYS] 2025/04/04 - 18:13:20 | batch update started 
[SYS] 2025/04/04 - 18:13:20 | batch update finished 
[SYS] 2025/04/04 - 18:13:25 | 任务进度轮询开始 
[SYS] 2025/04/04 - 18:13:25 | 任务进度轮询完成 
[SYS] 2025/04/04 - 18:13:25 | batch update started 
[SYS] 2025/04/04 - 18:13:25 | batch update finished 
[SYS] 2025/04/04 - 18:13:30 | batch update started 
[SYS] 2025/04/04 - 18:13:30 | batch update finished 
[SYS] 2025/04/04 - 18:13:35 | batch update started 
[SYS] 2025/04/04 - 18:13:35 | batch update finished 
[SYS] 2025/04/04 - 18:13:40 | syncing options from database 
[SYS] 2025/04/04 - 18:13:40 | syncing channels from database 
[SYS] 2025/04/04 - 18:13:40 | channels synced from database 
[SYS] 2025/04/04 - 18:13:40 | 任务进度轮询开始 
[SYS] 2025/04/04 - 18:13:40 | 任务进度轮询完成 
[SYS] 2025/04/04 - 18:13:40 | batch update started 
[SYS] 2025/04/04 - 18:13:40 | batch update finished 
[SYS] 2025/04/04 - 18:13:45 | batch update started 
[SYS] 2025/04/04 - 18:13:45 | batch update finished 
[SYS] 2025/04/04 - 18:13:50 | batch update started 
[SYS] 2025/04/04 - 18:13:50 | batch update finished 
[SYS] 2025/04/04 - 18:13:55 | 任务进度轮询开始 
[SYS] 2025/04/04 - 18:13:55 | 任务进度轮询完成 
