[SYS] 2025/03/28 - 14:57:04 | New API v0.0.0 started 
[SYS] 2025/03/28 - 14:57:04 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/03/28 - 14:57:04 | database migration started 
[SYS] 2025/03/28 - 14:57:05 | database migrated 
[SYS] 2025/03/28 - 14:57:05 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/03/28 - 14:57:05 | initializing token encoders 
[SYS] 2025/03/28 - 14:57:05 | 正在更新数据看板数据... 
[SYS] 2025/03/28 - 14:57:05 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/03/28 - 14:57:12 | token encoders initialized 
[FATAL] 2025/03/28 - 14:57:12 | [failed to start HTTP server: listen tcp :3000: bind: address already in use] 
